Campo,Valor
Campo,Valor
Última actualización de los datos,26 de febrero de 2024
Última actualización de los metadatos,26 de febrero de 2024
Creado,26 de febrero de 2024
Formato,XLSX
Licencia,Creative Commons Attribution
Email publisher,Emilio.soto@sonora.gob.mx
End date,1949-12-31
Has views,True
Id,f2333c5e-26ea-47c8-93ee-fda5e9106672
Mimetype,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
On same domain,True
Package id,ee8f639f-5e89-46ae-93b9-934b05fc6233
Position,2
Publisher,Emilio Alonso Soto Ruan
Publisher area,"Direccion General de Planeacion, Administracion y Evaluacion"
Publisher puesto,Director de Estiadistica y Tenologias
Region,Sonora
Responsible,Lic. Emilio Soto
Responsible puesto,Director de Estadística y Tecnologías
Size,145 KiB
Start date,1941-01-01
State,active
Url type,upload
Periodo de Datos (AAAA-MM-DD),"1941-01-01, 1949-12-31"
Región Geográfica o Demográfica,"Sonora.
                              
                                  (
                                  1
                                  
                                      Estado
                                  
                                  )"
