,almacenamiento,temp,humidity,precip,preciptype,uvindex,conditions_Clear,conditions_Overcast,conditions_Partially cloudy,conditions_Rain,"conditions_Rain, Overcast","conditions_Rain, Partially cloudy",lag1,lag2,lag3,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,isfuture,pred
2023-06-26,,,,,,,,,,,,,40.48,16.12,48.29,0,2,6,2023,177,26,26,True,43.470505
2023-06-27,,,,,,,,,,,,,40.3,16.17,48.1,1,2,6,2023,178,27,26,True,43.470505
2023-06-28,,,,,,,,,,,,,40.13,16.57,47.9,2,2,6,2023,179,28,26,True,43.470505
2023-06-29,,,,,,,,,,,,,39.96,16.86,47.76,3,2,6,2023,180,29,26,True,43.470505
2023-06-30,,,,,,,,,,,,,39.79,17.18,47.66,4,2,6,2023,181,30,26,True,43.470505
2023-07-01,,,,,,,,,,,,,39.62,17.62,47.56,5,3,7,2023,182,1,26,True,43.470505
2023-07-02,,,,,,,,,,,,,39.44,18.06,47.46,6,3,7,2023,183,2,26,True,43.470505
2023-07-03,,,,,,,,,,,,,39.27,18.29,47.61,0,3,7,2023,184,3,27,True,43.470505
2023-07-04,,,,,,,,,,,,,39.1,18.82,47.85,1,3,7,2023,185,4,27,True,43.470505
2023-07-05,,,,,,,,,,,,,38.93,19.61,48.05,2,3,7,2023,186,5,27,True,44.875256
2023-07-06,,,,,,,,,,,,,38.93,22.06,48.15,3,3,7,2023,187,6,27,True,45.386387
2023-07-07,,,,,,,,,,,,,39.14,22.89,48.2,4,3,7,2023,188,7,27,True,44.15419
2023-07-08,,,,,,,,,,,,,40.6,23.44,48.24,5,3,7,2023,189,8,27,True,44.15419
2023-07-09,,,,,,,,,,,,,40.6,23.61,48.24,6,3,7,2023,190,9,27,True,44.15419
2023-07-10,,,,,,,,,,,,,40.52,23.75,48.24,0,3,7,2023,191,10,28,True,44.15419
2023-07-11,,,,,,,,,,,,,40.43,23.88,48.05,1,3,7,2023,192,11,28,True,44.15419
2023-07-12,,,,,,,,,,,,,40.35,23.95,47.81,2,3,7,2023,193,12,28,True,44.15419
2023-07-13,,,,,,,,,,,,,40.35,23.95,47.66,3,3,7,2023,194,13,28,True,44.15419
2023-07-14,,,,,,,,,,,,,40.82,23.95,47.37,4,3,7,2023,195,14,28,True,44.15419
2023-07-15,,,,,,,,,,,,,40.73,23.95,47.02,5,3,7,2023,196,15,28,True,44.15419
2023-07-16,,,,,,,,,,,,,40.65,23.99,46.68,6,3,7,2023,197,16,28,True,44.15419
2023-07-17,,,,,,,,,,,,,40.56,24.09,46.34,0,3,7,2023,198,17,29,True,44.15419
2023-07-18,,,,,,,,,,,,,40.39,24.3,46.01,1,3,7,2023,199,18,29,True,44.15419
2023-07-19,,,,,,,,,,,,,40.13,25.16,45.68,2,3,7,2023,200,19,29,True,44.66971
2023-07-20,,,,,,,,,,,,,39.75,25.67,45.45,3,3,7,2023,201,20,29,True,44.66971
2023-07-21,,,,,,,,,,,,,39.36,27.53,45.35,4,3,7,2023,202,21,29,True,44.66971
2023-07-22,,,,,,,,,,,,,39.02,27.94,45.78,5,3,7,2023,203,22,29,True,46.074467
2023-07-23,,,,,,,,,,,,,38.84,28.34,46.11,6,3,7,2023,204,23,29,True,46.473675
2023-07-24,,,,,,,,,,,,,39.1,28.67,46.34,0,3,7,2023,205,24,30,True,45.068916
2023-07-25,,,,,,,,,,,,,39.27,28.74,46.44,1,3,7,2023,206,25,30,True,45.068916
2023-07-26,,,,,,,,,,,,,39.7,29.22,46.49,2,3,7,2023,207,26,30,True,45.24642
2023-07-27,,,,,,,,,,,,,40.17,29.44,46.49,3,3,7,2023,208,27,30,True,45.24642
2023-07-28,,,,,,,,,,,,,40.65,29.52,46.39,4,3,7,2023,209,28,30,True,45.24642
2023-07-29,,,,,,,,,,,,,41.55,29.52,46.25,5,3,7,2023,210,29,30,True,45.24642
2023-07-30,,,,,,,,,,,,,41.81,29.59,46.06,6,3,7,2023,211,30,30,True,45.24642
2023-07-31,,,,,,,,,,,,,42.22,30.53,45.87,0,3,7,2023,212,31,31,True,45.24642
2023-08-01,,,,,,,,,,,,,42.35,31.46,45.59,1,3,8,2023,213,1,31,True,45.24642
2023-08-02,,,,,,,,,,,,,42.45,32.4,45.31,2,3,8,2023,214,2,31,True,45.24642
2023-08-03,,,,,,,,,,,,,42.49,32.98,44.98,3,3,8,2023,215,3,31,True,45.24642
2023-08-04,,,,,,,,,,,,,42.94,33.26,44.6,4,3,8,2023,216,4,31,True,45.24642
2023-08-05,,,,,,,,,,,,,44.04,33.37,44.18,5,3,8,2023,217,5,31,True,45.24642
2023-08-06,,,,,,,,,,,,,44.93,33.42,43.81,6,3,8,2023,218,6,31,True,45.24642
2023-08-07,,,,,,,,,,,,,46.63,33.62,43.4,0,3,8,2023,219,7,32,True,43.65718
2023-08-08,,,,,,,,,,,,,47.12,34.6,42.99,1,3,8,2023,220,8,32,True,41.657104
2023-08-09,,,,,,,,,,,,,48.34,35.22,42.54,2,3,8,2023,221,9,32,True,41.57695
2023-08-10,,,,,,,,,,,,,51.26,35.87,42.17,3,3,8,2023,222,10,32,True,41.703323
2023-08-11,,,,,,,,,,,,,52.93,37.64,41.81,4,3,8,2023,223,11,32,True,41.639977
2023-08-12,,,,,,,,,,,,,54.36,38.54,41.46,5,3,8,2023,224,12,32,True,43.204426
2023-08-13,,,,,,,,,,,,,55.33,39.36,41.08,6,3,8,2023,225,13,32,True,39.191982
2023-08-14,,,,,,,,,,,,,56.15,41.16,40.65,0,3,8,2023,226,14,33,True,23.80659
2023-08-15,,,,,,,,,,,,,56.47,44.74,40.17,1,3,8,2023,227,15,33,True,18.972492
2023-08-16,,,,,,,,,,,,,56.96,48.34,39.7,2,3,8,2023,228,16,33,True,18.972492
