,almacenamiento,temp,humidity,precip,preciptype,uvindex,conditions_Clear,conditions_Overcast,conditions_Partially cloudy,conditions_Rain,"conditions_Rain, Overcast","conditions_Rain, Partially cloudy",lag1,lag2,lag3,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,isfuture,pred
2023-06-26,,,,,,,,,,,,,0.0,0.0,0.0,0,2,6,2023,177,26,26,True,0.33642495
2023-06-27,,,,,,,,,,,,,0.0,0.0,0.08,1,2,6,2023,178,27,26,True,0.33642495
2023-06-28,,,,,,,,,,,,,0.0,0.0,0.0,2,2,6,2023,179,28,26,True,0.33642495
2023-06-29,,,,,,,,,,,,,0.0,0.32,0.0,3,2,6,2023,180,29,26,True,0.65067214
2023-06-30,,,,,,,,,,,,,0.0,0.31,0.0,4,2,6,2023,181,30,26,True,0.65067214
2023-07-01,,,,,,,,,,,,,0.0,0.31,0.0,5,3,7,2023,182,1,26,True,0.65067214
2023-07-02,,,,,,,,,,,,,0.0,0.31,0.0,6,3,7,2023,183,2,26,True,0.65067214
2023-07-03,,,,,,,,,,,,,0.0,0.41,0.0,0,3,7,2023,184,3,27,True,1.3755463
2023-07-04,,,,,,,,,,,,,0.0,0.41,0.0,1,3,7,2023,185,4,27,True,1.3755463
2023-07-05,,,,,,,,,,,,,0.0,0.42,0.0,2,3,7,2023,186,5,27,True,1.3871452
2023-07-06,,,,,,,,,,,,,0.0,0.62,0.0,3,3,7,2023,187,6,27,True,1.3871452
2023-07-07,,,,,,,,,,,,,0.0,0.71,0.0,4,3,7,2023,188,7,27,True,1.4016378
2023-07-08,,,,,,,,,,,,,0.0,0.71,0.0,5,3,7,2023,189,8,27,True,1.4016378
2023-07-09,,,,,,,,,,,,,0.0,0.71,0.0,6,3,7,2023,190,9,27,True,1.4016378
2023-07-10,,,,,,,,,,,,,0.0,0.69,0.0,0,3,7,2023,191,10,28,True,1.4016378
2023-07-11,,,,,,,,,,,,,0.0,0.69,0.0,1,3,7,2023,192,11,28,True,1.4016378
2023-07-12,,,,,,,,,,,,,0.0,0.68,0.0,2,3,7,2023,193,12,28,True,1.3871452
2023-07-13,,,,,,,,,,,,,0.0,0.68,0.0,3,3,7,2023,194,13,28,True,1.3871452
2023-07-14,,,,,,,,,,,,,0.0,0.66,0.0,4,3,7,2023,195,14,28,True,1.3871452
2023-07-15,,,,,,,,,,,,,0.0,0.65,0.0,5,3,7,2023,196,15,28,True,1.3871452
2023-07-16,,,,,,,,,,,,,0.0,0.65,0.0,6,3,7,2023,197,16,28,True,1.3871452
2023-07-17,,,,,,,,,,,,,0.0,0.65,0.0,0,3,7,2023,198,17,29,True,1.3871452
2023-07-18,,,,,,,,,,,,,0.0,2.1,0.0,1,3,7,2023,199,18,29,True,1.4357905
2023-07-19,,,,,,,,,,,,,0.0,2.08,0.0,2,3,7,2023,200,19,29,True,1.4460893
2023-07-20,,,,,,,,,,,,,0.0,2.07,0.43,3,3,7,2023,201,20,29,True,1.4801974
2023-07-21,,,,,,,,,,,,,0.0,2.05,0.59,4,3,7,2023,202,21,29,True,1.4801974
2023-07-22,,,,,,,,,,,,,0.0,2.03,1.13,5,3,7,2023,203,22,29,True,1.4801974
2023-07-23,,,,,,,,,,,,,0.0,3.17,1.17,6,3,7,2023,204,23,29,True,1.4801974
2023-07-24,,,,,,,,,,,,,0.0,3.17,1.17,0,3,7,2023,205,24,30,True,1.4801974
2023-07-25,,,,,,,,,,,,,0.0,3.17,1.16,1,3,7,2023,206,25,30,True,1.4801974
