,almacenamiento,temp,humidity,precip,preciptype,uvindex,conditions_Clear,conditions_Overcast,conditions_Partially cloudy,conditions_Rain,"conditions_Rain, Overcast","conditions_Rain, Partially cloudy",lag1,lag2,lag3,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,isfuture,pred
2023-06-26,,,,,,,,,,,,,831.3,807.78,1814.03,0,2,6,2023,177,26,26,True,972.854
2023-06-27,,,,,,,,,,,,,837.92,811.91,1799.08,1,2,6,2023,178,27,26,True,972.854
2023-06-28,,,,,,,,,,,,,851.66,815.21,1784.13,2,2,6,2023,179,28,26,True,972.854
2023-06-29,,,,,,,,,,,,,864.53,817.69,1770.07,3,2,6,2023,180,29,26,True,969.7701
2023-06-30,,,,,,,,,,,,,873.98,820.99,1757.99,4,2,6,2023,181,30,26,True,972.6014
2023-07-01,,,,,,,,,,,,,895.95,824.29,1746.71,5,3,7,2023,182,1,26,True,1130.8887
2023-07-02,,,,,,,,,,,,,907.82,827.59,1736.24,6,3,7,2023,183,2,26,True,1130.8887
2023-07-03,,,,,,,,,,,,,923.35,829.24,1717.72,0,3,7,2023,184,3,27,True,1192.6543
2023-07-04,,,,,,,,,,,,,937.29,840.93,1704.03,1,3,7,2023,185,4,27,True,1192.6543
2023-07-05,,,,,,,,,,,,,952.87,849.51,1699.19,2,3,7,2023,186,5,27,True,1192.6543
2023-07-06,,,,,,,,,,,,,961.64,856.38,1704.83,3,3,7,2023,187,6,27,True,1192.6543
2023-07-07,,,,,,,,,,,,,968.94,871.4,1702.42,4,3,7,2023,188,7,27,True,1192.6543
2023-07-08,,,,,,,,,,,,,974.3,879.99,1697.74,5,3,7,2023,189,8,27,True,1192.6543
2023-07-09,,,,,,,,,,,,,990.13,888.18,1695.55,6,3,7,2023,190,9,27,True,1192.6543
2023-07-10,,,,,,,,,,,,,998.82,895.03,1689.73,0,3,7,2023,191,10,28,True,1192.6543
2023-07-11,,,,,,,,,,,,,1007.52,911.02,1680.26,1,3,7,2023,192,11,28,True,1192.6543
2023-07-12,,,,,,,,,,,,,1014.17,937.78,1671.52,2,3,7,2023,193,12,28,True,1192.6543
2023-07-13,,,,,,,,,,,,,1026.47,952.39,1660.6,3,3,7,2023,194,13,28,True,1192.6543
2023-07-14,,,,,,,,,,,,,1034.97,961.64,1654.04,4,3,7,2023,195,14,28,True,1192.6543
2023-07-15,,,,,,,,,,,,,1041.89,976.32,1652.59,5,3,7,2023,196,15,28,True,1192.6543
2023-07-16,,,,,,,,,,,,,1047.73,992.69,1650.4,6,3,7,2023,197,16,28,True,1192.6543
2023-07-17,,,,,,,,,,,,,1058.37,1007.01,1665.69,0,3,7,2023,198,17,29,True,1192.6543
2023-07-18,,,,,,,,,,,,,1064.22,1037.1,1667.15,1,3,7,2023,199,18,29,True,1192.6543
2023-07-19,,,,,,,,,,,,,1071.13,1062.62,1675.89,2,3,7,2023,200,19,29,True,1192.6543
2023-07-20,,,,,,,,,,,,,1078.04,1081.29,1683.17,3,3,7,2023,201,20,29,True,1192.6543
2023-07-21,,,,,,,,,,,,,1085.65,1098.72,1690.46,4,3,7,2023,202,21,29,True,1192.6543
2023-07-22,,,,,,,,,,,,,1094.91,1106.36,1709.67,5,3,7,2023,203,22,29,True,1192.6543
2023-07-23,,,,,,,,,,,,,1106.36,1116.71,1731.41,6,3,7,2023,204,23,29,True,1192.6543
