Clave,Presa,Nombre_comun,Estado,Municipio,Rio,Numero,Latitud,Longitud,Altitud
LCDSO,Lazaro Cardenas,La Angostura, Sonora, Nacozari de Garcia,Rio Yaqui,30,-109,860,102
PECSO,Plutarco Elias Calles,El Novillo, Sonora, Soyopa,Rio Yaqui,29,-110,2110,103
AOBSO,Alvaro Obregon,Oviachic, Sonora, Cajeme,Rio Yaqui,28,-110,116,104
AGZCH,Abraham Gonzalez,Guadalupe, Chihuahua, Guerrero,Otros,28,-107,2020,103
ARCSO,Adolfo Ruiz Cortines,Mocuzari, Sonora, Alamos,Rio Mayo,27,-109,148,108
PMOSO,Ing. Rodolfo Felix Valdes,El Molinito, Sonora, Hermosillo,Rio Sonora,29,-111,321,100
ARLSO,Abelardo Rodriguez Lujan,Hermosillo, Sonora, Hermosillo,Rio Sonora,29,-111,230,100
CHTSO,Cuauhtemoc,Santa Teresa, Sonora, Tubutama,Otros,31,-112,590,92
IRASO,Ignacio R. Alatorre,Punta de Agua, Sonora, Guaymas,Otros,28,-110,245,110
BICSO,Bicentenario,Los Pilares,Sonora,Alamos,Rio Mayo,27,-109,164,108
