clave,fecha,almacenamiento,temp,humidity,precip,preciptype,uvindex,conditions_Clear,conditions_Overcast,conditions_Partially cloudy,conditions_Rain,"conditions_Rain, Overcast","conditions_Rain, Partially cloudy"
AGZCH,2020-01-01,79.1,14.7,65.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
AOBSO,2020-01-01,1683.92,14.7,65.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
ARCSO,2020-01-01,501.46,14.7,65.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
ARLSO,2020-01-01,18.42,14.7,65.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
CHTSO,2020-01-01,13.17,14.7,65.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
IRASO,2020-01-01,1.35,14.7,65.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
LCDSO,2020-01-01,738.54,14.7,65.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
PECSO,2020-01-01,2283.69,14.7,65.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
PMOSO,2020-01-01,79.58,14.7,65.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
AGZCH,2020-01-02,79.1,14.5,69.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
AOBSO,2020-01-02,1691.41,14.5,69.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
ARCSO,2020-01-02,500.61,14.5,69.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
ARLSO,2020-01-02,18.52,14.5,69.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
CHTSO,2020-01-02,13.17,14.5,69.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
IRASO,2020-01-02,1.35,14.5,69.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
LCDSO,2020-01-02,738.15,14.5,69.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
PECSO,2020-01-02,2280.23,14.5,69.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
PMOSO,2020-01-02,78.4,14.5,69.0,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
AGZCH,2020-01-03,79.1,13.5,60.5,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
AOBSO,2020-01-03,1697.87,13.5,60.5,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
ARCSO,2020-01-03,500.19,13.5,60.5,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
ARLSO,2020-01-03,18.72,13.5,60.5,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
CHTSO,2020-01-03,13.17,13.5,60.5,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
IRASO,2020-01-03,1.34,13.5,60.5,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
LCDSO,2020-01-03,737.37,13.5,60.5,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
PECSO,2020-01-03,2276.77,13.5,60.5,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
PMOSO,2020-01-03,77.95,13.5,60.5,0.0,0,6,1.0,0.0,0.0,0.0,0.0,0.0
AGZCH,2020-01-04,79.1,14.3,55.2,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
AOBSO,2020-01-04,1706.92,14.3,55.2,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
ARCSO,2020-01-04,499.76,14.3,55.2,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
ARLSO,2020-01-04,18.93,14.3,55.2,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
CHTSO,2020-01-04,13.23,14.3,55.2,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
IRASO,2020-01-04,1.34,14.3,55.2,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
LCDSO,2020-01-04,736.59,14.3,55.2,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
PECSO,2020-01-04,2271.58,14.3,55.2,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
PMOSO,2020-01-04,77.06,14.3,55.2,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
AGZCH,2020-01-05,79.04,16.4,55.6,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
AOBSO,2020-01-05,1717.26,16.4,55.6,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
ARCSO,2020-01-05,499.33,16.4,55.6,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
ARLSO,2020-01-05,19.13,16.4,55.6,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
CHTSO,2020-01-05,13.23,16.4,55.6,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
IRASO,2020-01-05,1.33,16.4,55.6,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
LCDSO,2020-01-05,735.82,16.4,55.6,0.0,0,7,1.0,0.0,0.0,0.0,0.0,0.0
