,pred
2023-06-26,1295.4364899999998
2023-06-27,1294.98265
2023-06-28,1295.4154899999996
2023-06-29,1294.8024399999997
2023-06-30,1294.6425999999994
2023-07-01,1291.6700999999996
2023-07-02,1292.1239399999997
2023-07-03,1292.4639899999997
2023-07-04,1292.0101499999998
2023-07-05,1291.9891499999999
2023-07-06,1291.3760999999995
2023-07-07,1291.6700999999996
2023-07-08,1291.6700999999996
2023-07-09,1292.1239399999997
2023-07-10,1292.87349
2023-07-11,1292.87349
2023-07-12,1292.4429899999998
2023-07-13,1291.3760999999995
2023-07-14,1291.6700999999996
2023-07-15,1291.6700999999996
2023-07-16,1291.6700999999996
2023-07-17,1292.0101499999998
2023-07-18,1294.8689299999999
2023-07-19,1295.6001299999998
2023-07-20,1295.9457499999999
2023-07-21,1298.09875
2023-07-22,1300.45663
2023-07-23,1301.41693
2023-07-24,1303.6736799999999
2023-07-25,1305.9546800000003
2023-07-26,1312.58566
2023-07-27,1313.1978
2023-07-28,1313.8535000000002
2023-07-29,1314.1650999999997
2023-07-30,1315.27873
2023-07-31,1323.0962599999998
2023-08-01,1323.0962599999998
2023-08-02,1322.8886599999998
2023-08-03,1300.5429299999998
2023-08-04,1297.5124299999998
2023-08-05,1287.5753199999997
2023-08-06,1289.5855099999999
2023-08-07,1292.0014599999997
2023-08-08,1292.0014599999997
2023-08-09,1296.4305599999996
2023-08-10,1296.3876099999998
2023-08-11,1305.8828999999998
2023-08-12,1305.8828999999998
2023-08-13,1305.7661999999996
2023-08-14,1306.7156499999996
2023-08-15,1310.9017499999995
2023-08-16,1312.0157499999996
2023-08-17,1314.1748999999995
2023-08-18,1315.2149999999997
2023-08-19,1316.2955699999998
2023-08-20,1318.10316
2023-08-21,1319.5983899999999
2023-08-22,1322.2862999999998
2023-08-23,1317.6661299999998
2023-08-24,1321.0251599999997
2023-08-25,1325.2887099999998
2023-08-26,1334.8536499999996
2023-08-27,1346.9113199999995
2023-08-28,1353.6532199999992
2023-08-29,1358.8085499999995
2023-08-30,1380.8052399999997
2023-08-31,1388.5747299999996
2023-09-01,1399.1413299999997
2023-09-02,1402.2332199999996
2023-09-03,1352.3292199999999
2023-09-04,1343.5686199999996
2023-09-05,1349.8844199999999
2023-09-06,1377.47452
2023-09-07,1401.5069100000003
2023-09-08,1433.2602100000001
2023-09-09,1471.0096099999998
2023-09-10,1479.69031
2023-09-11,1490.2669099999998
2023-09-12,1492.1018900000001
2023-09-13,1492.79239
2023-09-14,1496.8966900000003
2023-09-15,1515.7022800000004
2023-09-16,1513.9562800000006
2023-09-17,1516.0100800000002
2023-09-18,1516.79448
2023-09-19,1520.1085800000003
2023-09-20,1520.5015800000003
2023-09-21,1526.4728100000004
2023-09-22,1534.6941100000006
2023-09-23,1536.2633100000003
2023-09-24,1531.1803100000004
2023-09-25,1529.9445099999998
2023-09-26,1528.2515099999998
2023-09-27,1529.3471099999997
2023-09-28,1529.6393099999998
2023-09-29,1533.9963100000002
2023-09-30,1534.2889100000002
2023-10-01,1556.5263100000002
2023-10-02,1560.47111
2023-10-03,1573.3122099999998
2023-10-04,1571.86111
2023-10-05,1572.2499100000005
2023-10-06,1583.9734100000005
2023-10-07,1585.1805100000004
2023-10-08,1590.1104100000005
2023-10-09,1589.3064100000004
2023-10-10,1590.0899100000004
2023-10-11,1591.4509100000005
2023-10-12,1592.1114100000007
2023-10-13,1596.2500100000004
2023-10-14,1597.6377100000004
2023-10-15,1597.0418099999997
2023-10-16,1597.8303099999996
2023-10-17,1602.0318099999997
2023-10-18,1602.79071
