,pred
2023-06-26,345.8288399999997
2023-06-27,347.0986899999997
2023-06-28,347.0858099999997
2023-06-29,351.88945999999976
2023-06-30,371.9193899999999
2023-07-01,388.4818699999999
2023-07-02,407.63971
2023-07-03,424.3205400000003
2023-07-04,424.59304000000026
2023-07-05,424.3135800000003
2023-07-06,424.7607400000002
2023-07-07,425.9090700000002
2023-07-08,426.2374700000001
2023-07-09,428.4616800000002
2023-07-10,435.16390000000024
2023-07-11,443.8628100000002
2023-07-12,472.1003000000001
2023-07-13,495.9602500000001
2023-07-14,505.94078
2023-07-15,515.7881600000001
2023-07-16,521.6800099999999
2023-07-17,527.9660799999999
2023-07-18,547.2138199999997
2023-07-19,558.8241999999997
2023-07-20,562.7630999999998
2023-07-21,574.3345999999998
2023-07-22,582.4031999999997
2023-07-23,591.8691999999999
2023-07-24,601.6668999999999
2023-07-25,606.9614
2023-07-26,611.5287000000001
2023-07-27,614.3682000000001
2023-07-28,620.7391
2023-07-29,621.6613999999998
2023-07-30,618.3479999999998
2023-07-31,624.2579999999999
2023-08-01,626.4999
2023-08-02,629.7777
2023-08-03,638.4073000000001
2023-08-04,640.7508000000001
2023-08-05,646.8337000000001
2023-08-06,650.8594999999999
2023-08-07,657.4468999999999
2023-08-08,663.2230000000002
2023-08-09,663.1002000000002
2023-08-10,663.3735
2023-08-11,666.5321000000002
2023-08-12,667.3179000000002
2023-08-13,644.1053000000003
2023-08-14,651.1563000000001
2023-08-15,656.9552
2023-08-16,686.6887800000004
2023-08-17,717.5598100000003
2023-08-18,777.4987600000009
2023-08-19,883.3596400000002
2023-08-20,968.7005200000001
2023-08-21,1032.4879000000005
2023-08-22,1056.0152000000003
2023-08-23,1069.1725000000006
2023-08-24,1072.6804000000006
2023-08-25,1072.7092000000007
2023-08-26,1075.9961000000005
2023-08-27,1075.9961000000005
2023-08-28,1083.7727000000007
2023-08-29,1083.8012000000006
2023-08-30,1084.1365000000008
2023-08-31,1084.0581000000009
2023-09-01,1084.0869000000007
2023-09-02,1083.9617000000007
2023-09-03,1084.0913000000005
2023-09-04,1084.9198000000006
2023-09-05,1075.8604000000005
2023-09-06,1085.3794000000007
