,pred
2023-06-26,558.6294500000004
2023-06-27,558.7499800000004
2023-06-28,558.6792700000002
2023-06-29,558.4087100000004
2023-06-30,557.7740700000004
2023-07-01,557.1865400000005
2023-07-02,557.1687400000005
2023-07-03,558.1546700000004
2023-07-04,558.8588400000003
2023-07-05,559.3862100000002
2023-07-06,560.80551
2023-07-07,560.13955
2023-07-08,557.71596
2023-07-09,557.42799
2023-07-10,557.2085699999999
2023-07-11,556.9414
2023-07-12,556.6573700000001
2023-07-13,556.0438
2023-07-14,556.2180000000001
2023-07-15,555.8101000000003
2023-07-16,555.4340500000002
2023-07-17,555.5269400000006
2023-07-18,555.5067400000006
2023-07-19,555.2899400000008
2023-07-20,555.1867400000006
2023-07-21,555.0549700000004
2023-07-22,555.5582900000004
2023-07-23,555.4563900000003
2023-07-24,555.5444800000008
2023-07-25,555.7181300000008
2023-07-26,555.9956800000007
2023-07-27,556.0662800000005
2023-07-28,555.9174900000003
2023-07-29,556.0563500000003
2023-07-30,557.4841499999998
2023-07-31,558.5289399999998
2023-08-01,559.8676399999997
2023-08-02,562.2404899999996
2023-08-03,563.2162899999996
2023-08-04,563.6962999999998
2023-08-05,563.7933999999998
2023-08-06,563.907
2023-08-07,563.7885899999998
2023-08-08,565.8331699999998
2023-08-09,566.07307
2023-08-10,566.0796700000001
2023-08-11,566.5406100000001
2023-08-12,566.5538100000001
2023-08-13,561.4515100000003
2023-08-14,627.14957
2023-08-15,637.61148
2023-08-16,637.69838
2023-08-17,637.7077800000001
2023-08-18,638.1686800000001
2023-08-19,637.6024800000001
2023-08-20,639.2101700000001
2023-08-21,639.4758700000001
2023-08-22,639.57267
2023-08-23,640.6859700000001
2023-08-24,642.0844700000001
2023-08-25,642.6777700000001
2023-08-26,682.70447
2023-08-27,684.06767
2023-08-28,684.7392700000001
2023-08-29,654.9541
2023-08-30,651.3900000000001
2023-08-31,649.8709000000002
2023-09-01,651.8611000000002
2023-09-02,650.4576000000002
2023-09-03,653.3712
2023-09-04,655.5235999999999
2023-09-05,633.6170999999999
2023-09-06,627.7427
2023-09-07,622.7655
2023-09-08,615.1691999999999
2023-09-09,618.1320000000001
2023-09-10,616.4981999999999
2023-09-11,616.7251999999997
2023-09-12,617.1074999999997
2023-09-13,618.3898999999999
2023-09-14,619.8564000000001
2023-09-15,621.7131999999999
2023-09-16,623.6066000000001
2023-09-17,625.2980000000002
2023-09-18,627.5693000000002
2023-09-19,625.4114000000002
2023-09-20,630.0777000000002
2023-09-21,630.2463000000004
2023-09-22,631.2531000000004
2023-09-23,632.1611000000003
2023-09-24,634.6465000000003
2023-09-25,634.4069000000003
2023-09-26,634.5518000000002
2023-09-27,635.2186000000003
2023-09-28,635.6706000000003
2023-09-29,635.6997000000003
2023-09-30,635.8532000000002
2023-10-01,636.5476000000002
2023-10-02,635.7381000000003
2023-10-03,636.4441000000002
2023-10-04,636.9207000000002
2023-10-05,636.9851000000002
2023-10-06,637.0496000000003
2023-10-07,637.4182000000003
2023-10-08,637.4288000000003
2023-10-09,637.3960000000003
2023-10-10,639.9682000000003
2023-10-11,640.7622000000003
2023-10-12,641.3822000000004
2023-10-13,641.4041000000003
2023-10-14,643.6292000000001
2023-10-15,645.9461000000001
2023-10-16,645.1978000000001
2023-10-17,643.0945
2023-10-18,643.4367000000001
2023-10-19,645.7329000000002
2023-10-20,647.7281000000002
2023-10-21,649.6117
2023-10-22,650.7109000000002
2023-10-23,650.3983000000002
2023-10-24,651.4340000000002
2023-10-25,651.4910000000002
2023-10-26,651.7894000000001
2023-10-27,652.0380000000001
2023-10-28,652.6303000000003
2023-10-29,653.6683000000005
2023-10-30,653.2451000000004
2023-10-31,653.6538000000004
2023-11-01,651.9449000000003
2023-11-02,652.5869000000001
2023-11-03,655.1136000000002
2023-11-04,660.4146000000002
2023-11-05,673.8615999999998
2023-11-06,678.1594999999999
2023-11-07,677.8367999999999
2023-11-08,678.682
2023-11-09,679.29
2023-11-10,679.4979000000001
2023-11-11,680.0407
2023-11-12,680.2095000000002
2023-11-13,680.1047
2023-11-14,680.4397
2023-11-15,680.6936000000001
2023-11-16,680.8548
2023-11-17,683.8102
2023-11-18,684.7038000000002
2023-11-19,685.6411000000002
2023-11-20,685.4794
2023-11-21,685.5163
2023-11-22,685.5414000000002
2023-11-23,685.3652000000002
2023-11-24,685.3337000000001
2023-11-25,685.3188000000002
2023-11-26,685.3188000000002
2023-11-27,685.1383999999999
2023-11-28,685.1189999999999
2023-11-29,685.1704000000001
2023-11-30,685.1591000000001
2023-12-01,685.1914000000002
2023-12-02,685.2214000000001
2023-12-03,685.2214000000001
2023-12-04,685.0745999999999
2023-12-05,685.1115
2023-12-06,685.1591999999999
2023-12-07,685.1479
2023-12-08,685.1914000000002
2023-12-09,685.2214000000001
2023-12-10,685.2214000000001
2023-12-11,685.0745999999999
2023-12-12,685.1115
2023-12-13,685.1591999999999
2023-12-14,685.1479
2023-12-15,685.1914000000002
2023-12-16,685.2214000000001
2023-12-17,685.2214000000001
2023-12-18,685.0745999999999
2023-12-19,685.1115
2023-12-20,685.1591999999999
2023-12-21,685.1479
2023-12-22,684.3498700000001
2023-12-23,684.3798700000001
2023-12-24,684.3798700000001
2023-12-25,684.23307
2023-12-26,684.2699700000001
2023-12-27,684.29641
2023-12-28,684.28511
2023-12-29,684.32861
2023-12-30,684.1352600000001
2023-12-31,684.3798700000001
2024-01-01,537.1220000000001
2024-01-02,539.2150000000001
2024-01-03,539.2589000000002
2024-01-04,539.2512000000002
2024-01-05,537.118
2024-01-06,536.934
2024-01-07,537.3361
2024-01-08,537.0082
2024-01-09,536.9050000000002
2024-01-10,536.8887000000002
2024-01-11,536.7573000000001
2024-01-12,536.4505
2024-01-13,536.2128
2024-01-14,536.6150000000001
2024-01-15,536.2207000000001
2024-01-16,535.9999
2024-01-17,535.9901000000001
2024-01-18,535.8654000000001
2024-01-19,535.6504000000001
2024-01-20,535.3285000000001
2024-01-21,535.7528000000001
2024-01-22,535.5092000000001
2024-01-23,535.2688
2024-01-24,535.1949000000001
2024-01-25,535.097
2024-01-26,534.9702999999998
2024-01-27,534.6103999999998
2024-01-28,534.9020999999998
2024-01-29,534.5140999999999
2024-01-30,534.4265999999998
2024-01-31,534.2483999999998
2024-02-01,534.0113
2024-02-02,533.9562
2024-02-03,533.5682
2024-02-04,533.9419
2024-02-05,533.7418
2024-02-06,533.6671
2024-02-07,533.6003
2024-02-08,533.4866999999999
2024-02-09,533.3588999999998
2024-02-10,532.9264
2024-02-11,533.2938999999998
2024-02-12,533.1001999999999
2024-02-13,533.0229999999999
2024-02-14,532.8919000000001
2024-02-15,532.7049999999999
2024-02-16,532.0233
2024-02-17,531.4504000000001
2024-02-18,531.5881000000002
2024-02-19,530.9859000000001
2024-02-20,530.9466000000002
2024-02-21,530.9865000000002
2024-02-22,530.7867000000001
2024-02-23,530.5539
2024-02-24,530.2921
2024-02-25,530.793
2024-02-26,530.4856000000001
2024-02-27,530.3331000000001
2024-02-28,530.1005
2024-02-29,529.9813
2024-03-01,529.6377
2024-03-02,529.1149000000001
2024-03-03,529.4384000000001
2024-03-04,529.2533000000001
2024-03-05,529.0884000000001
2024-03-06,528.9455000000002
