,pred
2023-06-26,974.3296400000003
2023-06-27,977.2342200000005
2023-06-28,977.5251500000006
2023-06-29,977.6679700000005
2023-06-30,977.7406600000006
2023-07-01,979.3690900000005
2023-07-02,979.3279800000004
2023-07-03,980.6091700000001
2023-07-04,985.8170899999999
2023-07-05,986.9256899999999
2023-07-06,987.3516299999999
2023-07-07,988.6413899999998
2023-07-08,988.5555999999997
2023-07-09,991.9588299999997
2023-07-10,993.0096099999996
2023-07-11,996.2648899999997
2023-07-12,999.2954499999997
2023-07-13,1002.8141699999998
2023-07-14,1005.5637199999998
2023-07-15,1011.4990899999997
2023-07-16,1013.0138599999997
2023-07-17,1014.8530499999998
2023-07-18,1027.3938799999999
2023-07-19,1030.7189799999999
2023-07-20,1041.7965899999997
2023-07-21,1061.3757599999997
2023-07-22,1084.2072899999998
2023-07-23,1094.3540600000006
2023-07-24,1106.7585600000011
2023-07-25,1117.3509300000014
2023-07-26,1121.992030000001
2023-07-27,1129.49493
2023-07-28,1134.67503
2023-07-29,1147.1929300000002
2023-07-30,1163.07203
2023-07-31,1176.7512300000008
2023-08-01,1212.9618300000002
2023-08-02,1221.5526300000001
2023-08-03,1230.94543
2023-08-04,1231.7019300000002
2023-08-05,1238.9683300000002
2023-08-06,1259.25423
2023-08-07,1278.5281300000001
2023-08-08,1314.3318000000002
2023-08-09,1342.3888000000004
2023-08-10,1366.4751000000003
2023-08-11,1427.2046000000007
2023-08-12,1494.5192000000004
2023-08-13,1622.8155000000004
2023-08-14,1705.3991
2023-08-15,1836.1752
2023-08-16,1882.0083000000002
2023-08-17,1904.5418000000004
2023-08-18,1967.5541000000005
2023-08-19,1990.3014000000007
2023-08-20,2020.7178000000004
2023-08-21,2025.7281000000012
2023-08-22,2060.5492000000004
2023-08-23,2074.3833
2023-08-24,2079.9764000000005
2023-08-25,2083.940400000001
2023-08-26,2089.906800000001
2023-08-27,2104.0777000000007
2023-08-28,2120.0195000000012
2023-08-29,2195.993
2023-08-30,2257.174999999999
2023-08-31,2263.916599999999
2023-09-01,2267.9815999999996
2023-09-02,2267.6383999999994
2023-09-03,2267.3157999999994
2023-09-04,2268.1408999999994
2023-09-05,2268.1408999999994
2023-09-06,2268.6261999999992
2023-09-07,2268.6507999999994
2023-09-08,2267.9815999999996
2023-09-09,2267.6383999999994
2023-09-10,2267.3157999999994
