,pred
2023-06-26,535.726
2023-06-27,535.726
2023-06-28,535.726
2023-06-29,535.726
2023-06-30,535.726
2023-07-01,535.726
2023-07-02,535.726
2023-07-03,535.726
2023-07-04,535.726
2023-07-05,535.726
2023-07-06,535.726
2023-07-07,535.726
2023-07-08,535.726
2023-07-09,535.726
2023-07-10,535.726
2023-07-11,535.726
2023-07-12,535.726
2023-07-13,535.726
2023-07-14,535.726
2023-07-15,535.726
2023-07-16,535.726
2023-07-17,535.726
2023-07-18,535.726
2023-07-19,535.726
2023-07-20,535.726
2023-07-21,535.726
2023-07-22,535.726
2023-07-23,535.726
2023-07-24,535.726
2023-07-25,535.726
2023-07-26,535.4407
2023-07-27,537.4705
2023-07-28,537.4705
2023-07-29,537.4705
2023-07-30,537.4705
2023-07-31,537.4705
2023-08-01,537.4705
2023-08-02,537.4705
2023-08-03,537.4705
2023-08-04,537.4705
2023-08-05,537.4705
2023-08-06,537.4705
2023-08-07,537.4705
2023-08-08,537.4705
2023-08-09,537.4705
2023-08-10,538.0014
2023-08-11,538.0014
2023-08-12,542.40546
2023-08-13,542.40546
2023-08-14,548.6682
2023-08-15,549.3323
2023-08-16,549.3323
2023-08-17,544.40247
2023-08-18,544.40247
2023-08-19,544.40247
2023-08-20,544.40247
2023-08-21,544.40247
2023-08-22,544.40247
2023-08-23,553.78687
2023-08-24,553.78687
2023-08-25,566.0892
2023-08-26,566.0892
2023-08-27,566.0892
2023-08-28,566.54767
2023-08-29,553.0954
2023-08-30,550.41736
2023-08-31,550.41736
2023-09-01,557.2012
2023-09-02,570.404
2023-09-03,583.25726
2023-09-04,580.7936
2023-09-05,674.5557
2023-09-06,670.5948
2023-09-07,670.5948
2023-09-08,687.97253
2023-09-09,687.97253
2023-09-10,730.2042
2023-09-11,730.2042
2023-09-12,769.2685
2023-09-13,789.2375
2023-09-14,827.15735
2023-09-15,827.15735
2023-09-16,843.18787
2023-09-17,843.59576
2023-09-18,843.59576
2023-09-19,854.31067
2023-09-20,1215.2203
2023-09-21,1222.9404
2023-09-22,1287.1423
2023-09-23,1287.1423
2023-09-24,1287.1423
2023-09-25,1292.7524
2023-09-26,1299.2019
2023-09-27,1320.0504
2023-09-28,1326.0789
2023-09-29,1340.3741
2023-09-30,1340.3741
2023-10-01,1340.3741
2023-10-02,1349.1528
2023-10-03,1358.9379
2023-10-04,1358.9379
2023-10-05,1370.1448
2023-10-06,1370.1448
2023-10-07,1342.5424
2023-10-08,1320.2288
2023-10-09,1299.6228
2023-10-10,1299.6228
2023-10-11,1299.6228
2023-10-12,1299.6228
2023-10-13,1299.6228
2023-10-14,1299.6228
2023-10-15,1299.6228
2023-10-16,1299.6228
2023-10-17,1299.6228
2023-10-18,1299.6228
2023-10-19,1299.6228
2023-10-20,1299.6228
2023-10-21,1299.6228
2023-10-22,1299.6228
2023-10-23,1299.6228
2023-10-24,1299.6228
2023-10-25,1299.6228
2023-10-26,1299.6228
2023-10-27,1299.6228
2023-10-28,1299.6228
2023-10-29,1299.6228
2023-10-30,1299.6228
2023-10-31,1299.6228
2023-11-01,1299.6228
2023-11-02,1299.6228
2023-11-03,1299.6228
2023-11-04,1299.6228
2023-11-05,1299.6228
2023-11-06,1281.2822
2023-11-07,1281.2822
2023-11-08,1299.6228
2023-11-09,1299.6228
2023-11-10,1299.6228
2023-11-11,1299.3892
2023-11-12,1299.3892
2023-11-13,1299.3892
2023-11-14,1299.3892
2023-11-15,1285.2361
2023-11-16,1285.2361
2023-11-17,1267.8352
2023-11-18,1267.8352
2023-11-19,1267.8352
2023-11-20,1267.8352
2023-11-21,1262.7568
2023-11-22,1259.4429
2023-11-23,1259.4429
2023-11-24,1251.4376
2023-11-25,1250.492
2023-11-26,1228.2458
2023-11-27,1228.2458
2023-11-28,1213.911
2023-11-29,1213.911
2023-11-30,1213.911
2023-12-01,1212.9896
2023-12-02,1212.9896
2023-12-03,1212.9896
2023-12-04,1212.9896
2023-12-05,1212.9896
2023-12-06,1212.9896
2023-12-07,1212.9896
2023-12-08,1212.9896
2023-12-09,1212.9896
2023-12-10,1212.9896
2023-12-11,1212.9896
2023-12-12,1212.9896
2023-12-13,1213.7441
2023-12-14,1213.7441
2023-12-15,1213.7441
2023-12-16,1213.7441
2023-12-17,1213.7441
2023-12-18,1213.7441
2023-12-19,1214.2435
2023-12-20,1214.2435
2023-12-21,1214.2435
2023-12-22,1214.2435
2023-12-23,1214.2435
2023-12-24,1214.2435
2023-12-25,1214.2435
2023-12-26,1214.2435
2023-12-27,1214.2435
2023-12-28,1214.2435
2023-12-29,1214.2435
2023-12-30,1214.2435
2023-12-31,1214.2435
2024-01-01,1059.9375
2024-01-02,1059.9375
2024-01-03,1059.9375
2024-01-04,1059.9375
2024-01-05,1059.9375
2024-01-06,1059.9375
2024-01-07,1059.9375
2024-01-08,1059.9375
2024-01-09,1059.9375
2024-01-10,1059.9375
2024-01-11,1059.9375
2024-01-12,1059.9375
2024-01-13,1059.9375
2024-01-14,1059.9375
2024-01-15,1059.9375
2024-01-16,1059.9375
2024-01-17,1057.7129
2024-01-18,1057.7129
2024-01-19,1040.5095
2024-01-20,1040.5095
2024-01-21,1014.9108
2024-01-22,1001.88165
2024-01-23,1001.88165
2024-01-24,1001.88165
2024-01-25,1000.49036
2024-01-26,996.29517
2024-01-27,996.29517
2024-01-28,1005.3093
2024-01-29,1005.3093
2024-01-30,1004.60364
2024-01-31,1004.60364
2024-02-01,1004.60364
2024-02-02,998.9674
2024-02-03,998.9674
2024-02-04,994.3883
2024-02-05,993.78143
2024-02-06,966.32623
2024-02-07,966.32623
2024-02-08,966.32623
2024-02-09,966.32623
2024-02-10,964.65326
2024-02-11,964.65326
2024-02-12,963.11505
2024-02-13,966.29315
2024-02-14,966.29315
2024-02-15,968.39056
2024-02-16,968.39056
2024-02-17,968.39056
2024-02-18,968.39056
2024-02-19,968.39056
2024-02-20,968.39056
2024-02-21,968.39056
2024-02-22,968.39056
2024-02-23,968.39056
2024-02-24,968.39056
2024-02-25,968.39056
2024-02-26,968.39056
2024-02-27,968.39056
2024-02-28,968.39056
2024-02-29,968.39056
2024-03-01,968.39056
2024-03-02,968.39056
2024-03-03,968.39056
2024-03-04,968.39056
2024-03-05,968.39056
2024-03-06,968.39056
2024-03-07,968.39056
2024-03-08,966.4046
2024-03-09,966.08344
2024-03-10,966.08344
2024-03-11,966.08344
2024-03-12,966.08344
2024-03-13,967.4279
2024-03-14,961.79346
2024-03-15,961.79346
2024-03-16,961.79346
2024-03-17,961.79346
2024-03-18,961.79346
2024-03-19,961.79346
2024-03-20,961.79346
2024-03-21,957.0082
2024-03-22,957.0082
2024-03-23,957.0082
2024-03-24,956.7496
2024-03-25,956.7496
2024-03-26,956.7496
2024-03-27,956.7496
2024-03-28,908.2286
2024-03-29,904.3797
2024-03-30,899.22205
2024-03-31,876.989
2024-04-01,876.989
2024-04-02,876.989
2024-04-03,877.5798
2024-04-04,881.66986
2024-04-05,881.66986
2024-04-06,881.66986
2024-04-07,881.66986
2024-04-08,881.5772
2024-04-09,881.5772
2024-04-10,875.8632
2024-04-11,869.4195
2024-04-12,869.4195
2024-04-13,859.63446
2024-04-14,837.1683
2024-04-15,828.16266
2024-04-16,828.16266
2024-04-17,828.16266
2024-04-18,828.16266
2024-04-19,828.16266
2024-04-20,828.16266
2024-04-21,808.5306
2024-04-22,805.01526
2024-04-23,805.01526
2024-04-24,805.01526
2024-04-25,803.38385
2024-04-26,803.38385
2024-04-27,803.38385
2024-04-28,778.984
2024-04-29,778.984
2024-04-30,778.984
2024-05-01,780.14246
2024-05-02,780.14246
2024-05-03,759.2939
2024-05-04,759.2939
2024-05-05,759.2939
2024-05-06,759.2939
2024-05-07,759.2939
2024-05-08,759.7682
2024-05-09,759.7682
2024-05-10,759.7682
2024-05-11,758.4812
2024-05-12,758.4812
2024-05-13,758.4812
2024-05-14,758.4812
2024-05-15,758.4812
2024-05-16,758.4812
2024-05-17,758.4812
2024-05-18,758.4812
2024-05-19,758.4812
2024-05-20,758.4812
2024-05-21,758.4812
2024-05-22,758.4812
2024-05-23,758.4812
2024-05-24,758.4812
2024-05-25,758.4812
2024-05-26,727.6536
2024-05-27,727.6536
2024-05-28,727.6536
2024-05-29,708.33234
2024-05-30,708.33234
2024-05-31,708.33234
2024-06-01,708.33234
2024-06-02,708.33234
2024-06-03,708.33234
2024-06-04,708.33234
2024-06-05,708.33234
2024-06-06,708.33234
2024-06-07,708.33234
2024-06-08,708.33234
2024-06-09,708.33234
2024-06-10,708.33234
2024-06-11,708.33234
2024-06-12,708.33234
2024-06-13,708.33234
2024-06-14,708.33234
2024-06-15,708.33234
2024-06-16,708.33234
2024-06-17,708.33234
2024-06-18,708.33234
2024-06-19,708.33234
2024-06-20,708.33234
2024-06-21,708.33234
2024-06-22,708.33234
2024-06-23,708.33234
2024-06-24,1244.6708
2024-06-25,1244.6708
2024-06-26,1244.6708
2024-06-27,1250.069
2024-06-28,1250.069
2024-06-29,1250.069
2024-06-30,1250.069
2024-07-01,1250.069
2024-07-02,1250.069
2024-07-03,1250.069
2024-07-04,1250.069
2024-07-05,1250.069
2024-07-06,1250.069
2024-07-07,1250.069
2024-07-08,1250.069
2024-07-09,1250.069
2024-07-10,1250.069
2024-07-11,1250.722
2024-07-12,1250.722
2024-07-13,1250.722
2024-07-14,1250.722
2024-07-15,1250.722
2024-07-16,1250.722
2024-07-17,1250.722
2024-07-18,1250.722
2024-07-19,1250.722
2024-07-20,1250.722
2024-07-21,1250.722
2024-07-22,1250.722
2024-07-23,1250.722
2024-07-24,1250.722
2024-07-25,1254.9908
2024-07-26,1261.096
2024-07-27,1261.096
2024-07-28,1261.096
2024-07-29,1261.096
2024-07-30,1261.096
2024-07-31,1261.096
2024-08-01,1261.096
2024-08-02,1261.096
2024-08-03,1261.096
2024-08-04,1261.096
2024-08-05,1261.096
2024-08-06,1261.096
2024-08-07,1261.096
2024-08-08,1261.096
2024-08-09,1263.678
2024-08-10,1263.678
2024-08-11,1264.5616
2024-08-12,1264.5616
2024-08-13,1266.12
2024-08-14,1266.784
2024-08-15,1266.784
2024-08-16,1266.784
2024-08-17,1266.784
2024-08-18,1266.784
2024-08-19,1266.784
2024-08-20,1266.784
2024-08-21,1266.784
2024-08-22,1276.1688
2024-08-23,1276.1688
2024-08-24,1288.4714
2024-08-25,1288.4714
2024-08-26,1288.4714
2024-08-27,1288.9299
2024-08-28,1288.9299
2024-08-29,1310.2708
2024-08-30,1310.2708
2024-08-31,1318.044
2024-09-01,1318.044
2024-09-02,1318.044
2024-09-03,1318.044
2024-09-04,1390.2783
2024-09-05,1390.2783
2024-09-06,1390.2783
2024-09-07,1406.9929
2024-09-08,1431.8303
2024-09-09,1434.8579
2024-09-10,1434.8579
2024-09-11,1461.4285
2024-09-12,1467.5808
2024-09-13,1484.3269
2024-09-14,1484.3269
2024-09-15,1484.3269
2024-09-16,1484.3269
2024-09-17,1484.3269
2024-09-18,1484.3269
2024-09-19,1499.0791
2024-09-20,1499.0791
2024-09-21,1498.8259
2024-09-22,1498.8259
2024-09-23,1498.8259
2024-09-24,1498.8259
2024-09-25,1498.8259
2024-09-26,1498.8259
2024-09-27,1498.8259
2024-09-28,1498.8259
2024-09-29,1498.8259
2024-09-30,1498.8259
2024-10-01,1498.8259
2024-10-02,1498.8259
2024-10-03,1498.8259
2024-10-04,1509.0099
2024-10-05,1509.0099
2024-10-06,1509.0099
2024-10-07,1509.0099
2024-10-08,1509.0099
2024-10-09,1509.0099
2024-10-10,1509.0099
2024-10-11,1509.0099
2024-10-12,1509.0099
2024-10-13,1509.0099
2024-10-14,1509.0099
2024-10-15,1509.0099
2024-10-16,1509.0099
2024-10-17,1509.0099
2024-10-18,1509.0099
2024-10-19,1509.0099
2024-10-20,1509.0099
2024-10-21,1509.0099
2024-10-22,1509.0099
2024-10-23,1509.0099
2024-10-24,1509.0099
2024-10-25,1509.0099
2024-10-26,1509.0099
2024-10-27,1509.0099
2024-10-28,1519.0255
2024-10-29,1519.0255
2024-10-30,1523.0702
2024-10-31,1523.0702
2024-11-01,1523.0702
2024-11-02,1523.0702
2024-11-03,1523.0702
2024-11-04,1523.0702
2024-11-05,1523.0702
2024-11-06,1523.0702
2024-11-07,1523.0702
2024-11-08,1523.0702
2024-11-09,1523.0702
2024-11-10,1518.7919
2024-11-11,1518.7919
2024-11-12,1508.7762
2024-11-13,1508.7762
2024-11-14,1494.6232
2024-11-15,1494.6232
2024-11-16,1477.2223
2024-11-17,1477.2223
2024-11-18,1477.2223
2024-11-19,1459.6471
2024-11-20,1442.1478
2024-11-21,1417.5226
2024-11-22,1417.5226
2024-11-23,1392.4285
2024-11-24,1389.3578
2024-11-25,1358.352
2024-11-26,1358.352
2024-11-27,1335.2085
2024-11-28,1335.2085
2024-11-29,1335.2085
2024-11-30,1325.8301
2024-12-01,1324.9087
