,pred
2023-06-26,2.7901525
2023-06-27,2.7901525
2023-06-28,2.7901525
2023-06-29,2.7901525
2023-06-30,2.7901525
2023-07-01,2.7327993
2023-07-02,2.7327993
2023-07-03,2.7327993
2023-07-04,2.7327993
2023-07-05,2.7327993
2023-07-06,2.7327993
2023-07-07,2.7327993
2023-07-08,2.6903048
2023-07-09,2.6689367
2023-07-10,2.647507
2023-07-11,2.647507
2023-07-12,2.6143525
2023-07-13,2.5627763
2023-07-14,2.5627763
2023-07-15,2.5444617
2023-07-16,2.5444617
2023-07-17,2.53617
2023-07-18,2.53617
2023-07-19,2.53617
2023-07-20,2.53617
2023-07-21,2.53617
2023-07-22,2.53617
2023-07-23,2.53617
2023-07-24,2.53617
2023-07-25,2.53617
2023-07-26,2.53617
2023-07-27,2.53617
2023-07-28,2.53617
2023-07-29,2.53617
2023-07-30,2.5332565
2023-07-31,2.7578003
2023-08-01,2.7578003
2023-08-02,2.7578003
2023-08-03,2.7578003
2023-08-04,2.7578003
2023-08-05,2.7578003
2023-08-06,2.7578003
2023-08-07,2.7604156
2023-08-08,2.7604156
2023-08-09,2.7604156
2023-08-10,2.7604156
2023-08-11,2.252165
2023-08-12,3.1543727
2023-08-13,3.1543727
2023-08-14,3.7656634
2023-08-15,4.004538
2023-08-16,4.004538
2023-08-17,4.3805313
2023-08-18,5.1859856
2023-08-19,5.1859856
2023-08-20,5.1859856
2023-08-21,5.1859856
2023-08-22,5.1859856
2023-08-23,5.1859856
2023-08-24,5.1859856
2023-08-25,5.1859856
2023-08-26,5.1859856
2023-08-27,5.1859856
2023-08-28,5.1859856
2023-08-29,4.185072
2023-08-30,4.219746
2023-08-31,4.228972
2023-09-01,4.254658
2023-09-02,4.254658
2023-09-03,4.254658
2023-09-04,4.254658
2023-09-05,4.254658
2023-09-06,4.254658
2023-09-07,4.254658
2023-09-08,4.254658
2023-09-09,4.254658
2023-09-10,4.254658
2023-09-11,4.254658
2023-09-12,4.254658
2023-09-13,4.254658
2023-09-14,4.2454324
2023-09-15,4.2454324
2023-09-16,4.2454324
2023-09-17,4.2454324
2023-09-18,4.2454324
2023-09-19,4.2454324
2023-09-20,4.2454324
2023-09-21,4.2454324
2023-09-22,4.2454324
