,pred
2023-06-26,1056.1989
2023-06-27,1056.1989
2023-06-28,1021.7086
2023-06-29,1021.7086
2023-06-30,1017.9686
2023-07-01,1063.1707
2023-07-02,1063.1707
2023-07-03,1026.9303
2023-07-04,1026.9303
2023-07-05,1034.4614
2023-07-06,1034.4614
2023-07-07,1034.4614
2023-07-08,1070.7018
2023-07-09,1074.7074
2023-07-10,1038.4672
2023-07-11,1044.2996
2023-07-12,1050.5725
2023-07-13,1053.4551
2023-07-14,1053.4551
2023-07-15,1098.848
2023-07-16,1116.8087
2023-07-17,1080.5686
2023-07-18,1104.5156
2023-07-19,1104.5156
2023-07-20,1118.5715
2023-07-21,1118.5715
2023-07-22,1186.7703
2023-07-23,1186.9513
2023-07-24,1382.7604
2023-07-25,1382.7604
2023-07-26,2023.8854
2023-07-27,2058.004
2023-07-28,2116.0342
2023-07-29,2250.1572
2023-07-30,2281.7874
2023-07-31,2329.6125
2023-08-01,2336.2437
2023-08-02,2376.8604
2023-08-03,2396.9006
2023-08-04,2364.505
2023-08-05,2408.7534
2023-08-06,2337.082
2023-08-07,2193.0356
2023-08-08,2226.2756
2023-08-09,2226.2756
2023-08-10,2232.701
2023-08-11,2245.3884
2023-08-12,2282.539
2023-08-13,2360.3398
2023-08-14,2324.0264
2023-08-15,2326.2107
2023-08-16,2300.6477
2023-08-17,2261.1292
2023-08-18,2260.7014
2023-08-19,2297.852
2023-08-20,2297.852
2023-08-21,2253.5662
2023-08-22,2253.5662
2023-08-23,2253.5662
2023-08-24,2260.8125
2023-08-25,2268.8005
2023-08-26,2318.5212
2023-08-27,2318.5212
2023-08-28,2310.488
2023-08-29,2374.1567
2023-08-30,2441.429
2023-08-31,2441.429
2023-09-01,2483.0283
2023-09-02,2524.4072
2023-09-03,2531.0044
2023-09-04,2493.8538
2023-09-05,2493.8538
2023-09-06,2493.8538
2023-09-07,2493.8538
2023-09-08,2493.8538
2023-09-09,2531.0044
2023-09-10,2531.0044
2023-09-11,2493.8538
2023-09-12,2493.8538
2023-09-13,2493.8538
2023-09-14,2493.8538
2023-09-15,2493.8538
2023-09-16,2531.0044
2023-09-17,2531.0044
2023-09-18,2493.8538
2023-09-19,2493.8538
2023-09-20,2493.8538
2023-09-21,2493.8538
2023-09-22,2493.8538
2023-09-23,2531.0044
2023-09-24,2531.0044
2023-09-25,2493.8538
2023-09-26,2493.8538
2023-09-27,2493.8538
2023-09-28,2493.8538
2023-09-29,2493.8538
2023-09-30,2531.0044
2023-10-01,2531.0044
2023-10-02,2493.8538
2023-10-03,2493.8538
2023-10-04,2489.6182
2023-10-05,2489.6182
2023-10-06,2489.6182
2023-10-07,2526.7688
2023-10-08,2521.6003
2023-10-09,2492.1887
2023-10-10,2492.1887
2023-10-11,2492.1887
2023-10-12,2492.1887
2023-10-13,2492.1887
2023-10-14,2529.3394
2023-10-15,2529.0425
2023-10-16,2491.8918
2023-10-17,2473.102
2023-10-18,2473.102
2023-10-19,2473.102
2023-10-20,2473.102
2023-10-21,2500.3423
2023-10-22,2500.3423
2023-10-23,2462.8206
2023-10-24,2460.3064
2023-10-25,2460.3064
2023-10-26,2460.3064
2023-10-27,2460.3064
2023-10-28,2496.9043
2023-10-29,2496.9043
2023-10-30,2444.3242
2023-10-31,2440.7505
2023-11-01,2439.3145
2023-11-02,2439.3145
2023-11-03,2439.3145
2023-11-04,2452.9177
2023-11-05,2447.004
2023-11-06,2409.8533
2023-11-07,2388.5813
2023-11-08,2388.5813
2023-11-09,2388.5813
2023-11-10,2381.4668
2023-11-11,2417.8735
2023-11-12,2392.1343
2023-11-13,2353.9226
2023-11-14,2353.9226
2023-11-15,2353.9226
2023-11-16,2353.9226
2023-11-17,2353.9226
2023-11-18,2383.948
2023-11-19,2383.948
2023-11-20,2321.6836
2023-11-21,2321.6836
2023-11-22,2303.9834
2023-11-23,2303.9834
2023-11-24,2303.9834
2023-11-25,2341.134
2023-11-26,2341.134
2023-11-27,2303.9834
2023-11-28,2303.9834
2023-11-29,2302.2332
2023-11-30,2302.2332
2023-12-01,2299.094
2023-12-02,2336.2446
2023-12-03,2334.8298
2023-12-04,2297.6792
2023-12-05,2287.9797
2023-12-06,2287.9797
2023-12-07,2287.9797
2023-12-08,2287.9797
2023-12-09,2321.8352
2023-12-10,2321.8352
2023-12-11,2283.7263
2023-12-12,2283.7263
2023-12-13,2275.7012
2023-12-14,2275.7012
2023-12-15,2262.0986
2023-12-16,2299.2493
2023-12-17,2292.254
2023-12-18,2255.1033
2023-12-19,2255.1033
2023-12-20,2255.1033
2023-12-21,2247.3867
2023-12-22,2247.3867
2023-12-23,2284.5374
2023-12-24,2284.5374
2023-12-25,2247.3867
2023-12-26,2247.3867
2023-12-27,2247.3867
2023-12-28,2247.3867
2023-12-29,2271.8591
2023-12-30,2309.0098
2023-12-31,2309.0098
2024-01-01,1277.1105
2024-01-02,1277.1105
2024-01-03,1277.1105
2024-01-04,1277.1105
2024-01-05,1277.1105
2024-01-06,1314.2612
2024-01-07,1314.2612
2024-01-08,1277.1105
2024-01-09,1277.1105
2024-01-10,1277.1105
2024-01-11,1277.1105
2024-01-12,1277.1105
2024-01-13,1314.2612
2024-01-14,1313.0936
2024-01-15,1274.6339
2024-01-16,1274.6339
2024-01-17,1274.6368
2024-01-18,1267.7599
2024-01-19,1267.7599
2024-01-20,1304.9109
2024-01-21,1302.6218
2024-01-22,1265.4708
2024-01-23,1265.4708
2024-01-24,1265.4708
2024-01-25,1265.4708
2024-01-26,1265.4708
2024-01-27,1302.6218
2024-01-28,1302.6218
2024-01-29,1265.4708
2024-01-30,1263.9625
2024-01-31,1263.9625
2024-02-01,1263.9625
2024-02-02,1258.5797
2024-02-03,1295.7305
2024-02-04,1295.7305
2024-02-05,1258.5797
2024-02-06,1258.5797
2024-02-07,1258.5797
2024-02-08,1258.5797
2024-02-09,1258.5797
2024-02-10,1295.7305
2024-02-11,1295.7305
2024-02-12,1326.8163
2024-02-13,1377.9462
2024-02-14,1375.0206
2024-02-15,1375.0206
2024-02-16,1374.8939
2024-02-17,1439.9143
2024-02-18,1439.9143
2024-02-19,1403.3478
2024-02-20,1400.0497
2024-02-21,1380.9288
2024-02-22,1376.9315
2024-02-23,1370.8151
2024-02-24,1365.5718
2024-02-25,1368.999
2024-02-26,1331.87
2024-02-27,1331.87
2024-02-28,1323.9818
2024-02-29,1298.8622
2024-03-01,1289.2843
2024-03-02,1300.8823
2024-03-03,1270.95
2024-03-04,1228.8344
2024-03-05,1222.754
2024-03-06,1212.2384
2024-03-07,1206.6105
2024-03-08,1202.143
2024-03-09,1238.383
2024-03-10,1238.383
2024-03-11,1204.6249
2024-03-12,1204.6249
2024-03-13,1204.6249
2024-03-14,1204.6249
2024-03-15,1192.6825
2024-03-16,1228.9229
2024-03-17,2022.305
2024-03-18,2005.5261
2024-03-19,2005.5261
2024-03-20,2002.1245
2024-03-21,2008.0453
2024-03-22,2008.0453
2024-03-23,2045.196
2024-03-24,2045.196
2024-03-25,1198.9344
2024-03-26,1198.9344
2024-03-27,1198.9344
2024-03-28,1198.9344
2024-03-29,1198.1371
2024-03-30,1234.3774
2024-03-31,1234.3774
2024-04-01,1197.1022
2024-04-02,1195.1017
2024-04-03,1195.1017
2024-04-04,1168.4286
2024-04-05,1168.4286
2024-04-06,1204.669
2024-04-07,1204.669
2024-04-08,1159.9799
2024-04-09,1156.65
2024-04-10,1154.8513
2024-04-11,1154.8513
2024-04-12,1153.2904
2024-04-13,1188.2502
2024-04-14,1188.2502
2024-04-15,1146.328
2024-04-16,1143.8885
2024-04-17,1140.3075
2024-04-18,1140.3075
2024-04-19,1136.9352
2024-04-20,1167.9722
2024-04-21,1158.7668
2024-04-22,1122.5267
2024-04-23,1123.8131
2024-04-24,1123.8131
2024-04-25,1123.8131
2024-04-26,1123.8131
2024-04-27,1162.0879
2024-04-28,1160.7903
2024-04-29,1124.5499
2024-04-30,1119.0001
2024-05-01,1117.9125
2024-05-02,1115.712
2024-05-03,1115.712
2024-05-04,1152.3352
2024-05-05,1152.3352
2024-05-06,1106.4142
2024-05-07,1106.4142
2024-05-08,1106.4142
2024-05-09,1106.4073
2024-05-10,1106.4073
2024-05-11,1141.3179
2024-05-12,1131.1038
2024-05-13,1090.5118
2024-05-14,1090.5118
2024-05-15,1082.7552
2024-05-16,1082.5585
2024-05-17,1078.7229
2024-05-18,1114.963
2024-05-19,1114.963
2024-05-20,1078.7229
2024-05-21,1078.1396
2024-05-22,1078.1396
2024-05-23,1078.1396
2024-05-24,1078.1396
2024-05-25,1114.38
2024-05-26,1114.38
2024-05-27,1078.1396
2024-05-28,1078.1396
2024-05-29,1078.1396
2024-05-30,1078.1396
2024-05-31,1078.1396
2024-06-01,1114.38
2024-06-02,1114.38
2024-06-03,1078.1396
