Clave,Fecha,Almacenamiento(hm³),Temperature,Precipitation,Max Temperature,Min Temperature,Temperature Range,Wind Speed,Pressure,Day with Precipitation
LCDSO,2020-01-01,738.54,17.4,,24.0,13.0,11.0,15.8,1008.5,False
PECSO,2020-01-01,2283.69,17.4,,24.0,13.0,11.0,15.8,1008.5,False
AOBSO,2020-01-01,1683.92,17.4,,24.0,13.0,11.0,15.8,1008.5,False
AGZCH,2020-01-01,79.1,17.4,,24.0,13.0,11.0,15.8,1008.5,False
ARCSO,2020-01-01,501.46,17.4,,24.0,13.0,11.0,15.8,1008.5,False
PMOSO,2020-01-01,79.58,17.4,,24.0,13.0,11.0,15.8,1008.5,False
ARLSO,2020-01-01,18.42,17.4,,24.0,13.0,11.0,15.8,1008.5,False
CHTSO,2020-01-01,13.17,17.4,,24.0,13.0,11.0,15.8,1008.5,False
IRASO,2020-01-01,1.35,17.4,,24.0,13.0,11.0,15.8,1008.5,False
IRASO,2020-01-02,1.35,16.9,,21.0,14.0,7.0,18.5,1006.2,False
CHTSO,2020-01-02,13.17,16.9,,21.0,14.0,7.0,18.5,1006.2,False
ARLSO,2020-01-02,18.52,16.9,,21.0,14.0,7.0,18.5,1006.2,False
PMOSO,2020-01-02,78.4,16.9,,21.0,14.0,7.0,18.5,1006.2,False
ARCSO,2020-01-02,500.61,16.9,,21.0,14.0,7.0,18.5,1006.2,False
AGZCH,2020-01-02,79.1,16.9,,21.0,14.0,7.0,18.5,1006.2,False
AOBSO,2020-01-02,1691.41,16.9,,21.0,14.0,7.0,18.5,1006.2,False
PECSO,2020-01-02,2280.23,16.9,,21.0,14.0,7.0,18.5,1006.2,False
LCDSO,2020-01-02,738.15,16.9,,21.0,14.0,7.0,18.5,1006.2,False
LCDSO,2020-01-03,737.37,16.3,,23.0,12.0,11.0,11.6,1009.6,False
PECSO,2020-01-03,2276.77,16.3,,23.0,12.0,11.0,11.6,1009.6,False
AOBSO,2020-01-03,1697.87,16.3,,23.0,12.0,11.0,11.6,1009.6,False
AGZCH,2020-01-03,79.1,16.3,,23.0,12.0,11.0,11.6,1009.6,False
ARCSO,2020-01-03,500.19,16.3,,23.0,12.0,11.0,11.6,1009.6,False
PMOSO,2020-01-03,77.95,16.3,,23.0,12.0,11.0,11.6,1009.6,False
ARLSO,2020-01-03,18.72,16.3,,23.0,12.0,11.0,11.6,1009.6,False
CHTSO,2020-01-03,13.17,16.3,,23.0,12.0,11.0,11.6,1009.6,False
IRASO,2020-01-03,1.34,16.3,,23.0,12.0,11.0,11.6,1009.6,False
IRASO,2020-01-04,1.34,12.4,,18.0,7.0,11.0,8.7,1018.4,False
CHTSO,2020-01-04,13.23,12.4,,18.0,7.0,11.0,8.7,1018.4,False
ARLSO,2020-01-04,18.93,12.4,,18.0,7.0,11.0,8.7,1018.4,False
PMOSO,2020-01-04,77.06,12.4,,18.0,7.0,11.0,8.7,1018.4,False
ARCSO,2020-01-04,499.76,12.4,,18.0,7.0,11.0,8.7,1018.4,False
AGZCH,2020-01-04,79.1,12.4,,18.0,7.0,11.0,8.7,1018.4,False
AOBSO,2020-01-04,1706.92,12.4,,18.0,7.0,11.0,8.7,1018.4,False
PECSO,2020-01-04,2271.58,12.4,,18.0,7.0,11.0,8.7,1018.4,False
LCDSO,2020-01-04,736.59,12.4,,18.0,7.0,11.0,8.7,1018.4,False
LCDSO,2020-01-05,735.82,12.4,,21.0,3.0,18.0,7.9,1022.2,False
PECSO,2020-01-05,2265.52,12.4,,21.0,3.0,18.0,7.9,1022.2,False
AOBSO,2020-01-05,1717.26,12.4,,21.0,3.0,18.0,7.9,1022.2,False
AGZCH,2020-01-05,79.04,12.4,,21.0,3.0,18.0,7.9,1022.2,False
ARCSO,2020-01-05,499.33,12.4,,21.0,3.0,18.0,7.9,1022.2,False
PMOSO,2020-01-05,76.17,12.4,,21.0,3.0,18.0,7.9,1022.2,False
ARLSO,2020-01-05,19.13,12.4,,21.0,3.0,18.0,7.9,1022.2,False
CHTSO,2020-01-05,13.23,12.4,,21.0,3.0,18.0,7.9,1022.2,False
IRASO,2020-01-05,1.33,12.4,,21.0,3.0,18.0,7.9,1022.2,False
IRASO,2020-01-06,1.33,14.4,,24.0,4.0,20.0,8.4,1017.1,False
CHTSO,2020-01-06,13.23,14.4,,24.0,4.0,20.0,8.4,1017.1,False
ARLSO,2020-01-06,19.33,14.4,,24.0,4.0,20.0,8.4,1017.1,False
PMOSO,2020-01-06,75.29,14.4,,24.0,4.0,20.0,8.4,1017.1,False
ARCSO,2020-01-06,497.63,14.4,,24.0,4.0,20.0,8.4,1017.1,False
AGZCH,2020-01-06,79.04,14.4,,24.0,4.0,20.0,8.4,1017.1,False
AOBSO,2020-01-06,1723.72,14.4,,24.0,4.0,20.0,8.4,1017.1,False
PECSO,2020-01-06,2262.93,14.4,,24.0,4.0,20.0,8.4,1017.1,False
LCDSO,2020-01-06,735.04,14.4,,24.0,4.0,20.0,8.4,1017.1,False
LCDSO,2020-01-07,734.26,13.4,,19.0,6.0,13.0,10.0,1018.1,False
PECSO,2020-01-07,2260.33,13.4,,19.0,6.0,13.0,10.0,1018.1,False
AOBSO,2020-01-07,1730.18,13.4,,19.0,6.0,13.0,10.0,1018.1,False
AGZCH,2020-01-07,79.04,13.4,,19.0,6.0,13.0,10.0,1018.1,False
ARCSO,2020-01-07,496.33,13.4,,19.0,6.0,13.0,10.0,1018.1,False
PMOSO,2020-01-07,74.54,13.4,,19.0,6.0,13.0,10.0,1018.1,False
ARLSO,2020-01-07,19.54,13.4,,19.0,6.0,13.0,10.0,1018.1,False
CHTSO,2020-01-07,13.23,13.4,,19.0,6.0,13.0,10.0,1018.1,False
