clave,fecha,almacenamiento
AGZCH,2020/01/01,79.10
AGZCH,2020/01/02,79.10
AGZCH,2020/01/03,79.10
AGZCH,2020/01/04,79.10
AGZCH,2020/01/05,79.04
AGZCH,2020/01/06,79.04
AGZCH,2020/01/07,79.04
AGZCH,2020/01/08,79.04
AGZCH,2020/01/09,78.97
AGZCH,2020/01/10,78.97
AGZCH,2020/01/11,78.97
AGZCH,2020/01/12,78.97
AGZCH,2020/01/13,78.97
AGZCH,2020/01/14,78.91
AGZCH,2020/01/15,78.91
AGZCH,2020/01/16,78.91
AGZCH,2020/01/17,78.84
AGZCH,2020/01/18,78.91
AGZCH,2020/01/19,78.78
AGZCH,2020/01/20,78.78
AGZCH,2020/01/21,78.72
AGZCH,2020/01/22,78.72
AGZCH,2020/01/23,78.72
AGZCH,2020/01/24,78.65
AGZCH,2020/01/25,78.65
AGZCH,2020/01/26,78.65
AGZCH,2020/01/27,78.65
AGZCH,2020/01/28,78.59
AGZCH,2020/01/29,78.59
AGZCH,2020/01/30,78.53
AGZCH,2020/01/31,78.46
AGZCH,2020/02/01,78.46
AGZCH,2020/02/02,78.46
AGZCH,2020/02/03,78.40
AGZCH,2020/02/04,78.40
AGZCH,2020/02/05,78.40
AGZCH,2020/02/06,78.33
AGZCH,2020/02/07,78.33
AGZCH,2020/02/08,78.27
AGZCH,2020/02/09,78.27
AGZCH,2020/02/10,78.27
AGZCH,2020/02/11,78.21
AGZCH,2020/02/12,78.21
AGZCH,2020/02/13,78.21
AGZCH,2020/02/14,78.14
AGZCH,2020/02/15,78.14
AGZCH,2020/02/16,78.14
AGZCH,2020/02/17,78.14
AGZCH,2020/02/18,78.08
AGZCH,2020/02/19,78.08
AGZCH,2020/02/20,78.08
AGZCH,2020/02/21,78.08
AGZCH,2020/02/22,78.08
AGZCH,2020/02/23,78.08
AGZCH,2020/02/24,78.14
AGZCH,2020/02/25,78.14
AGZCH,2020/02/26,78.14
AGZCH,2020/02/27,78.14
AGZCH,2020/02/28,78.14
AGZCH,2020/02/29,78.14
AGZCH,2020/03/01,78.14
AGZCH,2020/03/02,78.02
AGZCH,2020/03/03,78.02
AGZCH,2020/03/04,78.02
AGZCH,2020/03/05,78.02
AGZCH,2020/03/06,77.89
AGZCH,2020/03/07,77.89
AGZCH,2020/03/08,77.82
AGZCH,2020/03/09,77.82
AGZCH,2020/03/10,77.82
AGZCH,2020/03/11,77.82
AGZCH,2020/03/12,77.82
AGZCH,2020/03/13,77.89
AGZCH,2020/03/14,77.89
AGZCH,2020/03/15,77.89
AGZCH,2020/03/16,77.82
AGZCH,2020/03/17,77.63
AGZCH,2020/03/18,77.44
AGZCH,2020/03/19,77.38
AGZCH,2020/03/20,77.25
AGZCH,2020/03/21,77.07
AGZCH,2020/03/22,76.94
AGZCH,2020/03/23,77.25
AGZCH,2020/03/24,77.25
AGZCH,2020/03/25,77.25
AGZCH,2020/03/26,77.13
AGZCH,2020/03/27,77.07
AGZCH,2020/03/28,76.81
AGZCH,2020/03/29,76.63
AGZCH,2020/03/30,76.37
AGZCH,2020/03/31,76.18
AGZCH,2020/04/01,76.00
AGZCH,2020/04/02,75.74
AGZCH,2020/04/03,75.56
AGZCH,2020/04/04,75.30
AGZCH,2020/04/05,75.12
AGZCH,2020/04/06,74.93
AGZCH,2020/04/07,74.74
AGZCH,2020/04/08,74.49
