Clave,Fecha,Almacenamiento(hmÂ³),Temperature,Precipitation,Max Temperature,Min Temperature,Temperature Range,Wind Speed,Pressure,Day with Precipitation
LCDSO,2020-01-01,738.54,14.4,0.0,23.0,8.0,15.0,0.0,0.0,False
PECSO,2020-01-01,2283.69,14.4,0.0,23.0,8.0,15.0,0.0,0.0,False
AOBSO,2020-01-01,1683.92,14.4,0.0,23.0,8.0,15.0,0.0,0.0,False
AGZCH,2020-01-01,79.1,14.4,0.0,23.0,8.0,15.0,0.0,0.0,False
ARCSO,2020-01-01,501.46,14.4,0.0,23.0,8.0,15.0,0.0,0.0,False
PMOSO,2020-01-01,79.58,14.4,0.0,23.0,8.0,15.0,0.0,0.0,False
ARLSO,2020-01-01,18.42,14.4,0.0,23.0,8.0,15.0,0.0,0.0,False
CHTSO,2020-01-01,13.17,14.4,0.0,23.0,8.0,15.0,0.0,0.0,False
IRASO,2020-01-01,1.35,14.4,0.0,23.0,8.0,15.0,0.0,0.0,False
IRASO,2020-01-02,1.35,14.4,0.0,21.0,9.0,12.0,0.0,0.0,False
CHTSO,2020-01-02,13.17,14.4,0.0,21.0,9.0,12.0,0.0,0.0,False
ARLSO,2020-01-02,18.52,14.4,0.0,21.0,9.0,12.0,0.0,0.0,False
PMOSO,2020-01-02,78.4,14.4,0.0,21.0,9.0,12.0,0.0,0.0,False
ARCSO,2020-01-02,500.61,14.4,0.0,21.0,9.0,12.0,0.0,0.0,False
AGZCH,2020-01-02,79.1,14.4,0.0,21.0,9.0,12.0,0.0,0.0,False
AOBSO,2020-01-02,1691.41,14.4,0.0,21.0,9.0,12.0,0.0,0.0,False
PECSO,2020-01-02,2280.23,14.4,0.0,21.0,9.0,12.0,0.0,0.0,False
LCDSO,2020-01-02,738.15,14.4,0.0,21.0,9.0,12.0,0.0,0.0,False
LCDSO,2020-01-03,737.37,13.4,0.0,23.0,5.0,18.0,0.0,0.0,False
PECSO,2020-01-03,2276.77,13.4,0.0,23.0,5.0,18.0,0.0,0.0,False
AOBSO,2020-01-03,1697.87,13.4,0.0,23.0,5.0,18.0,0.0,0.0,False
AGZCH,2020-01-03,79.1,13.4,0.0,23.0,5.0,18.0,0.0,0.0,False
ARCSO,2020-01-03,500.19,13.4,0.0,23.0,5.0,18.0,0.0,0.0,False
PMOSO,2020-01-03,77.95,13.4,0.0,23.0,5.0,18.0,0.0,0.0,False
ARLSO,2020-01-03,18.72,13.4,0.0,23.0,5.0,18.0,0.0,0.0,False
CHTSO,2020-01-03,13.17,13.4,0.0,23.0,5.0,18.0,0.0,0.0,False
IRASO,2020-01-03,1.34,13.4,0.0,23.0,5.0,18.0,0.0,0.0,False
IRASO,2020-01-04,1.34,14.0,0.0,26.0,5.0,21.0,0.0,0.0,False
CHTSO,2020-01-04,13.23,14.0,0.0,26.0,5.0,21.0,0.0,0.0,False
ARLSO,2020-01-04,18.93,14.0,0.0,26.0,5.0,21.0,0.0,0.0,False
PMOSO,2020-01-04,77.06,14.0,0.0,26.0,5.0,21.0,0.0,0.0,False
ARCSO,2020-01-04,499.76,14.0,0.0,26.0,5.0,21.0,0.0,0.0,False
AGZCH,2020-01-04,79.1,14.0,0.0,26.0,5.0,21.0,0.0,0.0,False
AOBSO,2020-01-04,1706.92,14.0,0.0,26.0,5.0,21.0,0.0,0.0,False
PECSO,2020-01-04,2271.58,14.0,0.0,26.0,5.0,21.0,0.0,0.0,False
LCDSO,2020-01-04,736.59,14.0,0.0,26.0,5.0,21.0,0.0,0.0,False
LCDSO,2020-01-05,735.82,15.8,0.0,27.0,7.4,19.6,0.0,0.0,False
PECSO,2020-01-05,2265.52,15.8,0.0,27.0,7.4,19.6,0.0,0.0,False
AOBSO,2020-01-05,1717.26,15.8,0.0,27.0,7.4,19.6,0.0,0.0,False
