,pred
2023-06-26,64.12214
2023-06-27,64.12214
2023-06-28,64.12214
2023-06-29,64.12214
2023-06-30,64.12214
2023-07-01,64.12214
2023-07-02,64.12214
2023-07-03,64.12214
2023-07-04,64.12214
2023-07-05,65.31657
2023-07-06,65.31657
2023-07-07,64.12214
2023-07-08,64.12214
2023-07-09,64.12214
2023-07-10,64.12214
2023-07-11,64.12214
2023-07-12,64.12214
2023-07-13,64.12214
2023-07-14,64.12214
2023-07-15,64.12214
2023-07-16,64.12214
2023-07-17,64.12214
2023-07-18,64.12214
2023-07-19,64.12214
2023-07-20,64.12214
2023-07-21,64.12214
2023-07-22,65.31657
2023-07-23,65.31657
2023-07-24,64.12214
2023-07-25,64.12214
2023-07-26,64.12214
2023-07-27,64.12214
2023-07-28,64.12214
2023-07-29,64.12214
2023-07-30,64.12214
2023-07-31,64.12214
2023-08-01,64.12214
2023-08-02,64.12214
2023-08-03,64.12214
2023-08-04,64.12214
2023-08-05,64.12214
2023-08-06,64.12214
2023-08-07,64.12214
2023-08-08,64.12214
2023-08-09,64.12214
2023-08-10,64.12214
2023-08-11,61.04618
2023-08-12,57.98523
2023-08-13,43.068077
2023-08-14,26.980366
2023-08-15,21.193836
2023-08-16,21.193836
2023-08-17,21.193836
2023-08-18,21.996998
2023-08-19,23.239185
2023-08-20,23.239185
2023-08-21,26.574368
2023-08-22,27.84517
2023-08-23,29.406595
2023-08-24,29.406595
2023-08-25,29.406595
2023-08-26,29.406595
2023-08-27,29.406595
2023-08-28,29.406595
2023-08-29,29.406595
2023-08-30,29.406595
2023-08-31,29.406595
2023-09-01,29.406595
2023-09-02,29.406595
2023-09-03,29.406595
2023-09-04,29.406595
2023-09-05,29.406595
2023-09-06,29.406595
2023-09-07,29.406595
2023-09-08,29.406595
2023-09-09,29.406595
2023-09-10,29.406595
2023-09-11,29.406595
2023-09-12,29.406595
2023-09-13,29.406595
2023-09-14,29.406595
2023-09-15,29.406595
2023-09-16,29.406595
2023-09-17,29.406595
2023-09-18,29.406595
2023-09-19,29.406595
2023-09-20,29.406595
2023-09-21,29.406595
2023-09-22,29.406595
2023-09-23,29.406595
2023-09-24,29.406595
2023-09-25,29.406595
2023-09-26,29.406595
2023-09-27,29.406595
2023-09-28,29.406595
2023-09-29,29.406595
2023-09-30,29.406595
2023-10-01,29.406595
2023-10-02,29.406595
2023-10-03,29.406595
2023-10-04,29.406595
2023-10-05,29.406595
2023-10-06,29.406595
2023-10-07,29.406595
2023-10-08,29.406595
2023-10-09,29.406595
2023-10-10,29.406595
2023-10-11,29.406595
2023-10-12,29.406595
2023-10-13,29.406595
2023-10-14,29.406595
2023-10-15,29.406595
2023-10-16,29.406595
2023-10-17,29.406595
2023-10-18,29.406595
2023-10-19,29.406595
2023-10-20,29.406595
2023-10-21,29.406595
2023-10-22,29.406595
2023-10-23,29.406595
2023-10-24,29.406595
2023-10-25,29.406595
2023-10-26,29.406595
2023-10-27,29.406595
2023-10-28,29.406595
2023-10-29,29.406595
2023-10-30,29.406595
2023-10-31,29.406595
2023-11-01,29.406595
2023-11-02,29.406595
2023-11-03,29.406595
2023-11-04,29.406595
2023-11-05,29.406595
2023-11-06,29.406595
2023-11-07,29.406595
2023-11-08,29.406595
2023-11-09,29.406595
2023-11-10,29.406595
2023-11-11,29.406595
2023-11-12,29.406595
2023-11-13,29.406595
2023-11-14,29.406595
2023-11-15,29.406595
2023-11-16,29.406595
2023-11-17,29.406595
2023-11-18,29.406595
2023-11-19,29.406595
2023-11-20,29.406595
2023-11-21,29.406595
2023-11-22,29.406595
2023-11-23,29.406595
2023-11-24,29.406595
2023-11-25,29.406595
2023-11-26,29.061382
2023-11-27,29.061382
2023-11-28,29.061382
2023-11-29,29.061382
2023-11-30,29.061382
2023-12-01,29.061382
2023-12-02,29.061382
2023-12-03,29.061382
2023-12-04,29.061382
2023-12-05,29.061382
2023-12-06,29.061382
2023-12-07,29.061382
2023-12-08,29.061382
2023-12-09,29.061382
2023-12-10,29.061382
2023-12-11,29.061382
2023-12-12,29.061382
2023-12-13,29.061382
2023-12-14,29.061382
2023-12-15,29.061382
2023-12-16,29.061382
2023-12-17,29.061382
2023-12-18,29.061382
2023-12-19,29.061382
2023-12-20,29.061382
2023-12-21,29.061382
2023-12-22,29.061382
2023-12-23,29.061382
2023-12-24,29.061382
2023-12-25,29.061382
2023-12-26,29.061382
2023-12-27,29.061382
2023-12-28,29.061382
2023-12-29,29.061382
2023-12-30,29.061382
2023-12-31,29.061382
2024-01-01,25.07919
2024-01-02,25.07919
2024-01-03,25.07919
2024-01-04,25.07919
2024-01-05,25.07919
2024-01-06,25.07919
2024-01-07,25.07919
2024-01-08,25.07919
2024-01-09,25.07919
2024-01-10,25.07919
2024-01-11,25.07919
2024-01-12,25.07919
2024-01-13,25.07919
2024-01-14,25.07919
2024-01-15,25.07919
2024-01-16,25.07919
2024-01-17,25.07919
2024-01-18,25.07919
2024-01-19,25.07919
2024-01-20,25.07919
2024-01-21,25.07919
2024-01-22,25.07919
2024-01-23,25.07919
2024-01-24,25.07919
2024-01-25,25.07919
2024-01-26,25.07919
2024-01-27,25.07919
2024-01-28,25.07919
2024-01-29,25.07919
2024-01-30,25.07919
2024-01-31,25.07919
2024-02-01,25.07919
2024-02-02,25.07919
2024-02-03,25.07919
2024-02-04,25.07919
2024-02-05,25.07919
2024-02-06,25.07919
2024-02-07,25.07919
2024-02-08,25.07919
2024-02-09,25.07919
2024-02-10,25.07919
2024-02-11,25.07919
2024-02-12,25.07919
2024-02-13,25.07919
2024-02-14,25.07919
2024-02-15,25.07919
2024-02-16,25.07919
2024-02-17,25.07919
2024-02-18,25.07919
2024-02-19,25.07919
2024-02-20,24.75036
2024-02-21,24.75036
2024-02-22,24.75036
2024-02-23,24.75036
2024-02-24,24.75036
2024-02-25,23.633514
2024-02-26,23.633514
2024-02-27,23.633514
2024-02-28,23.517765
2024-02-29,23.517765
2024-03-01,23.517765
2024-03-02,23.517765
2024-03-03,22.778124
2024-03-04,22.778124
2024-03-05,22.778124
2024-03-06,22.778124
2024-03-07,22.706247
2024-03-08,22.706247
2024-03-09,22.706247
2024-03-10,22.706247
2024-03-11,22.706247
2024-03-12,22.706247
2024-03-13,22.706247
2024-03-14,22.556976
2024-03-15,22.556976
2024-03-16,22.480066
2024-03-17,22.480066
2024-03-18,22.480066
2024-03-19,22.246967
2024-03-20,22.246967
2024-03-21,22.246967
2024-03-22,22.246967
2024-03-23,22.246967
2024-03-24,22.246967
2024-03-25,22.246967
2024-03-26,22.246967
2024-03-27,22.246967
2024-03-28,22.246967
2024-03-29,22.246967
2024-03-30,22.246967
2024-03-31,22.246967
2024-04-01,22.246967
2024-04-02,22.246967
2024-04-03,21.971094
2024-04-04,21.971094
2024-04-05,21.971094
2024-04-06,21.971094
2024-04-07,21.971094
2024-04-08,21.971094
2024-04-09,21.971094
2024-04-10,21.971094
2024-04-11,21.79544
2024-04-12,21.79544
2024-04-13,21.79544
2024-04-14,21.79544
2024-04-15,21.495031
2024-04-16,21.495031
2024-04-17,21.495031
2024-04-18,21.495031
2024-04-19,21.495031
2024-04-20,21.495031
2024-04-21,21.416813
2024-04-22,21.306173
2024-04-23,21.306173
2024-04-24,21.306173
2024-04-25,21.306173
2024-04-26,21.306173
2024-04-27,21.306173
2024-04-28,21.306173
2024-04-29,21.306173
2024-04-30,21.306173
2024-05-01,21.306173
2024-05-02,21.306173
2024-05-03,21.306173
2024-05-04,21.306173
2024-05-05,21.306173
2024-05-06,21.306173
2024-05-07,21.306173
2024-05-08,21.306173
2024-05-09,21.306173
2024-05-10,21.306173
2024-05-11,21.306173
2024-05-12,21.306173
2024-05-13,21.306173
2024-05-14,21.306173
2024-05-15,21.306173
2024-05-16,21.306173
2024-05-17,21.306173
2024-05-18,21.306173
2024-05-19,21.306173
2024-05-20,21.306173
2024-05-21,20.84983
2024-05-22,20.84983
2024-05-23,20.84983
2024-05-24,20.84983
2024-05-25,20.84983
2024-05-26,20.629934
2024-05-27,20.629934
2024-05-28,20.629934
2024-05-29,20.629934
2024-05-30,20.629934
2024-05-31,20.629934
2024-06-01,19.267866
2024-06-02,19.267866
2024-06-03,19.267866
2024-06-04,18.67893
2024-06-05,18.67893
2024-06-06,18.67893
2024-06-07,18.67893
2024-06-08,21.4633
2024-06-09,22.262396
2024-06-10,23.579874
2024-06-11,24.668097
2024-06-12,27.24983
2024-06-13,27.141869
2024-06-14,29.28027
2024-06-15,29.019276
2024-06-16,40.091717
2024-06-17,40.091717
2024-06-18,40.091717
2024-06-19,40.091717
2024-06-20,40.091717
2024-06-21,29.019276
2024-06-22,29.019276
2024-06-23,40.091717
2024-06-24,52.67632
2024-06-25,52.67632
2024-06-26,53.883373
2024-06-27,53.883373
2024-06-28,53.883373
2024-06-29,54.214058
2024-06-30,54.214058
2024-07-01,54.6839
2024-07-02,54.6839
2024-07-03,56.534286
2024-07-04,56.534286
2024-07-05,54.6839
2024-07-06,52.67632
2024-07-07,52.67632
2024-07-08,52.67632
2024-07-09,52.67632
2024-07-10,52.67632
2024-07-11,52.67632
2024-07-12,46.853992
2024-07-13,46.853992
2024-07-14,46.853992
2024-07-15,52.67632
2024-07-16,52.67632
2024-07-17,53.883373
2024-07-18,53.883373
2024-07-19,54.214058
2024-07-20,56.4245
2024-07-21,56.4245
2024-07-22,54.574112
2024-07-23,54.574112
2024-07-24,53.773586
2024-07-25,52.566532
2024-07-26,46.744205
2024-07-27,44.53355
2024-07-28,43.44533
2024-07-29,42.12785
2024-07-30,42.12785
2024-07-31,42.12785
2024-08-01,42.12785
2024-08-02,41.328762
2024-08-03,41.328762
2024-08-04,41.328762
2024-08-05,41.328762
2024-08-06,41.328762
2024-08-07,41.328762
2024-08-08,41.328762
2024-08-09,41.328762
2024-08-10,41.328762
2024-08-11,41.328762
2024-08-12,41.328762
2024-08-13,41.328762
2024-08-14,41.328762
2024-08-15,41.328762
2024-08-16,41.098747
2024-08-17,40.71612
2024-08-18,39.979946
2024-08-19,39.979946
2024-08-20,39.523415
2024-08-21,39.523415
2024-08-22,39.523415
2024-08-23,39.523415
2024-08-24,39.523415
2024-08-25,39.523415
2024-08-26,39.523415
2024-08-27,39.523415
2024-08-28,39.523415
2024-08-29,39.523415
2024-08-30,39.523415
2024-08-31,39.523415
2024-09-01,39.523415
2024-09-02,39.523415
2024-09-03,39.523415
2024-09-04,39.523415
2024-09-05,39.523415
2024-09-06,39.523415
2024-09-07,39.523415
2024-09-08,39.523415
2024-09-09,39.523415
2024-09-10,39.523415
2024-09-11,39.523415
2024-09-12,39.523415
2024-09-13,39.523415
2024-09-14,39.523415
2024-09-15,39.523415
2024-09-16,39.523415
2024-09-17,39.523415
2024-09-18,39.523415
2024-09-19,39.523415
2024-09-20,39.523415
2024-09-21,39.523415
2024-09-22,39.523415
2024-09-23,39.523415
2024-09-24,39.523415
2024-09-25,39.523415
2024-09-26,39.523415
2024-09-27,39.523415
2024-09-28,39.523415
2024-09-29,39.523415
2024-09-30,39.523415
2024-10-01,39.523415
2024-10-02,39.523415
2024-10-03,39.523415
2024-10-04,39.523415
2024-10-05,39.523415
2024-10-06,39.523415
2024-10-07,39.523415
2024-10-08,39.523415
2024-10-09,39.523415
2024-10-10,39.523415
2024-10-11,39.523415
2024-10-12,39.523415
2024-10-13,39.523415
2024-10-14,39.523415
2024-10-15,39.523415
2024-10-16,39.523415
2024-10-17,39.523415
2024-10-18,39.523415
2024-10-19,39.523415
2024-10-20,39.523415
2024-10-21,39.523415
2024-10-22,39.523415
2024-10-23,39.523415
2024-10-24,39.523415
2024-10-25,39.523415
2024-10-26,39.523415
2024-10-27,39.523415
2024-10-28,39.523415
2024-10-29,39.523415
2024-10-30,39.523415
2024-10-31,39.523415
2024-11-01,39.523415
2024-11-02,39.523415
2024-11-03,39.523415
2024-11-04,39.523415
2024-11-05,39.523415
2024-11-06,39.523415
2024-11-07,39.523415
2024-11-08,39.523415
2024-11-09,39.523415
2024-11-10,39.523415
2024-11-11,39.523415
2024-11-12,39.523415
2024-11-13,39.523415
2024-11-14,39.523415
2024-11-15,39.523415
2024-11-16,39.523415
2024-11-17,39.523415
2024-11-18,39.523415
2024-11-19,39.523415
2024-11-20,39.523415
2024-11-21,39.523415
2024-11-22,39.523415
2024-11-23,39.523415
2024-11-24,39.523415
2024-11-25,39.178204
2024-11-26,39.178204
2024-11-27,39.178204
2024-11-28,39.178204
2024-11-29,39.178204
2024-11-30,39.178204
2024-12-01,39.178204
