,almacenamiento,temp,humidity,precip,preciptype,uvindex,conditions_Clear,conditions_Overcast,conditions_Partially cloudy,conditions_Rain,"conditions_Rain, Overcast","conditions_Rain, Partially cloudy",lag1,lag2,lag3,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,isfuture,pred
2023-06-26,,,,,,,,,,,,,12.46,12.56,338.5,0,2,6,2023,177,26,26,True,248.7394
2023-06-27,,,,,,,,,,,,,17.12,12.69,338.5,1,2,6,2023,178,27,26,True,254.4455
2023-06-28,,,,,,,,,,,,,25.5,13.44,338.5,2,2,6,2023,179,28,26,True,259.13464
2023-06-29,,,,,,,,,,,,,33.93,16.1,338.17,3,2,6,2023,180,29,26,True,259.13464
2023-06-30,,,,,,,,,,,,,44.2,17.42,338.17,4,2,6,2023,181,30,26,True,261.88184
2023-07-01,,,,,,,,,,,,,52.43,17.99,338.82,5,3,7,2023,182,1,26,True,261.88184
2023-07-02,,,,,,,,,,,,,61.5,20.36,338.82,6,3,7,2023,183,2,26,True,264.64587
2023-07-03,,,,,,,,,,,,,69.78,21.13,338.82,0,3,7,2023,184,3,27,True,264.64587
2023-07-04,,,,,,,,,,,,,79.61,22.13,338.82,1,3,7,2023,185,4,27,True,269.78445
2023-07-05,,,,,,,,,,,,,86.93,22.65,338.82,2,3,7,2023,186,5,27,True,269.78445
2023-07-06,,,,,,,,,,,,,92.37,24.12,339.14,3,3,7,2023,187,6,27,True,269.78445
2023-07-07,,,,,,,,,,,,,95.55,30.82,339.46,4,3,7,2023,188,7,27,True,269.78445
2023-07-08,,,,,,,,,,,,,96.69,38.0,339.46,5,3,7,2023,189,8,27,True,269.78445
2023-07-09,,,,,,,,,,,,,101.4,43.93,339.79,6,3,7,2023,190,9,27,True,269.78445
2023-07-10,,,,,,,,,,,,,103.66,47.09,339.79,0,3,7,2023,191,10,28,True,269.78445
2023-07-11,,,,,,,,,,,,,105.66,52.87,339.79,1,3,7,2023,192,11,28,True,269.78445
2023-07-12,,,,,,,,,,,,,108.67,61.33,340.11,2,3,7,2023,193,12,28,True,269.78445
2023-07-13,,,,,,,,,,,,,115.26,68.12,340.11,3,3,7,2023,194,13,28,True,269.78445
