,almacenamiento,temp,humidity,precip,preciptype,uvindex,conditions_Clear,conditions_Overcast,conditions_Partially cloudy,conditions_Rain,"conditions_Rain, Overcast","conditions_Rain, Partially cloudy",lag1,lag2,lag3,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,isfuture,pred
2023-06-26,,,,,,,,,,,,,0.0,0.0,1.56,0,2,6,2023,177,26,26,True,3.1374514
2023-06-27,,,,,,,,,,,,,0.0,0.0,1.38,1,2,6,2023,178,27,26,True,3.1374514
2023-06-28,,,,,,,,,,,,,0.0,0.0,1.25,2,2,6,2023,179,28,26,True,3.1374514
2023-06-29,,,,,,,,,,,,,0.0,0.0,1.14,3,2,6,2023,180,29,26,True,3.1374514
2023-06-30,,,,,,,,,,,,,0.0,0.0,1.03,4,2,6,2023,181,30,26,True,3.1374514
2023-07-01,,,,,,,,,,,,,0.0,0.0,0.91,5,3,7,2023,182,1,26,True,3.1374514
2023-07-02,,,,,,,,,,,,,0.0,0.0,0.82,6,3,7,2023,183,2,26,True,3.1374514
2023-07-03,,,,,,,,,,,,,0.0,0.0,0.72,0,3,7,2023,184,3,27,True,3.1374514
2023-07-04,,,,,,,,,,,,,0.0,0.0,0.65,1,3,7,2023,185,4,27,True,3.1374514
2023-07-05,,,,,,,,,,,,,0.0,0.0,0.65,2,3,7,2023,186,5,27,True,3.1374514
2023-07-06,,,,,,,,,,,,,0.0,0.33,0.65,3,3,7,2023,187,6,27,True,2.149542
2023-07-07,,,,,,,,,,,,,0.0,0.31,0.65,4,3,7,2023,188,7,27,True,2.6938207
2023-07-08,,,,,,,,,,,,,0.0,0.3,0.64,5,3,7,2023,189,8,27,True,2.9128773
2023-07-09,,,,,,,,,,,,,0.0,0.33,0.64,6,3,7,2023,190,9,27,True,2.149542
2023-07-10,,,,,,,,,,,,,0.0,0.33,0.62,0,3,7,2023,191,10,28,True,2.149542
2023-07-11,,,,,,,,,,,,,0.0,0.28,0.62,1,3,7,2023,192,11,28,True,3.1374514
2023-07-12,,,,,,,,,,,,,0.0,0.25,0.62,2,3,7,2023,193,12,28,True,3.1374514
2023-07-13,,,,,,,,,,,,,0.0,0.22,0.62,3,3,7,2023,194,13,28,True,3.1374514
2023-07-14,,,,,,,,,,,,,0.0,0.17,0.62,4,3,7,2023,195,14,28,True,3.1374514
2023-07-15,,,,,,,,,,,,,0.0,0.15,0.61,5,3,7,2023,196,15,28,True,3.1374514
2023-07-16,,,,,,,,,,,,,0.0,0.12,0.59,6,3,7,2023,197,16,28,True,3.1374514
2023-07-17,,,,,,,,,,,,,0.0,0.1,0.56,0,3,7,2023,198,17,29,True,3.1374514
2023-07-18,,,,,,,,,,,,,0.0,0.09,0.56,1,3,7,2023,199,18,29,True,3.1374514
2023-07-19,,,,,,,,,,,,,0.0,0.07,0.54,2,3,7,2023,200,19,29,True,3.1374514
2023-07-20,,,,,,,,,,,,,0.0,0.06,0.54,3,3,7,2023,201,20,29,True,3.1374514
2023-07-21,,,,,,,,,,,,,0.0,0.06,0.52,4,3,7,2023,202,21,29,True,3.1374514
2023-07-22,,,,,,,,,,,,,0.0,0.04,0.51,5,3,7,2023,203,22,29,True,3.1374514
2023-07-23,,,,,,,,,,,,,0.0,0.04,0.51,6,3,7,2023,204,23,29,True,3.1374514
2023-07-24,,,,,,,,,,,,,0.0,0.02,0.51,0,3,7,2023,205,24,30,True,3.1374514
2023-07-25,,,,,,,,,,,,,0.0,0.09,0.49,1,3,7,2023,206,25,30,True,3.1374514
2023-07-26,,,,,,,,,,,,,0.0,0.06,0.49,2,3,7,2023,207,26,30,True,3.1374514
2023-07-27,,,,,,,,,,,,,0.0,0.04,0.49,3,3,7,2023,208,27,30,True,3.1374514
2023-07-28,,,,,,,,,,,,,0.17,0.04,0.48,4,3,7,2023,209,28,30,True,3.1374514
2023-07-29,,,,,,,,,,,,,0.33,0.02,0.48,5,3,7,2023,210,29,30,True,3.1374514
2023-07-30,,,,,,,,,,,,,0.65,0.01,0.46,6,3,7,2023,211,30,30,True,5.167024
2023-07-31,,,,,,,,,,,,,0.82,0.01,0.46,0,3,7,2023,212,31,31,True,5.167024
2023-08-01,,,,,,,,,,,,,0.82,0.01,0.44,1,3,8,2023,213,1,31,True,5.167024
2023-08-02,,,,,,,,,,,,,1.06,0.01,0.44,2,3,8,2023,214,2,31,True,5.167024
2023-08-03,,,,,,,,,,,,,1.38,0.01,0.43,3,3,8,2023,215,3,31,True,5.4211636
2023-08-04,,,,,,,,,,,,,1.38,0.01,0.43,4,3,8,2023,216,4,31,True,5.4211636
2023-08-05,,,,,,,,,,,,,1.41,0.01,0.38,5,3,8,2023,217,5,31,True,5.4211636
2023-08-06,,,,,,,,,,,,,1.99,0.01,0.33,6,3,8,2023,218,6,31,True,5.4211636
2023-08-07,,,,,,,,,,,,,2.57,0.01,0.31,0,3,8,2023,219,7,32,True,5.4211636
2023-08-08,,,,,,,,,,,,,2.57,0.01,0.3,1,3,8,2023,220,8,32,True,5.4211636
2023-08-09,,,,,,,,,,,,,3.04,0.01,0.3,2,3,8,2023,221,9,32,True,5.4211636
2023-08-10,,,,,,,,,,,,,5.06,0.01,0.28,3,3,8,2023,222,10,32,True,5.4211636
2023-08-11,,,,,,,,,,,,,4.92,0.01,0.28,4,3,8,2023,223,11,32,True,5.4211636
2023-08-12,,,,,,,,,,,,,4.87,0.01,0.27,5,3,8,2023,224,12,32,True,5.4211636
2023-08-13,,,,,,,,,,,,,5.39,0.01,0.27,6,3,8,2023,225,13,32,True,5.4211636
2023-08-14,,,,,,,,,,,,,5.3,0.01,0.25,0,3,8,2023,226,14,33,True,5.4211636
2023-08-15,,,,,,,,,,,,,5.3,0.01,0.25,1,3,8,2023,227,15,33,True,5.4211636
2023-08-16,,,,,,,,,,,,,5.3,0.01,0.23,2,3,8,2023,228,16,33,True,5.4211636
2023-08-17,,,,,,,,,,,,,5.11,0.01,0.22,3,3,8,2023,229,17,33,True,5.4211636
2023-08-18,,,,,,,,,,,,,6.79,0.01,0.22,4,3,8,2023,230,18,33,True,5.4211636
2023-08-19,,,,,,,,,,,,,21.16,0.01,0.2,5,3,8,2023,231,19,33,True,5.4211636
2023-08-20,,,,,,,,,,,,,27.88,0.01,0.2,6,3,8,2023,232,20,33,True,19.989967
2023-08-21,,,,,,,,,,,,,32.54,0.01,0.18,0,3,8,2023,233,21,34,True,28.631887
2023-08-22,,,,,,,,,,,,,33.83,0.01,0.18,1,3,8,2023,234,22,34,True,28.631887
2023-08-23,,,,,,,,,,,,,34.99,0.01,0.18,2,3,8,2023,235,23,34,True,30.685951
2023-08-24,,,,,,,,,,,,,36.15,0.01,0.17,3,3,8,2023,236,24,34,True,30.685951
2023-08-25,,,,,,,,,,,,,35.89,0.01,0.17,4,3,8,2023,237,25,34,True,30.685951
2023-08-26,,,,,,,,,,,,,35.89,0.01,0.15,5,3,8,2023,238,26,34,True,30.685951
2023-08-27,,,,,,,,,,,,,38.19,0.01,0.15,6,3,8,2023,239,27,34,True,30.685951
2023-08-28,,,,,,,,,,,,,38.19,0.01,0.14,0,3,8,2023,240,28,35,True,30.685951
2023-08-29,,,,,,,,,,,,,39.45,0.01,0.14,1,3,8,2023,241,29,35,True,30.685951
2023-08-30,,,,,,,,,,,,,39.77,1.22,0.14,2,3,8,2023,242,30,35,True,0.11666181
2023-08-31,,,,,,,,,,,,,39.77,1.19,1.03,3,3,8,2023,243,31,35,True,0.11666181
2023-09-01,,,,,,,,,,,,,39.45,1.27,1.01,4,3,9,2023,244,1,35,True,1.1536483
2023-09-02,,,,,,,,,,,,,39.45,1.27,1.01,5,3,9,2023,245,2,35,True,1.1602687
2023-09-03,,,,,,,,,,,,,39.77,1.25,0.99,6,3,9,2023,246,3,35,True,1.1602687
2023-09-04,,,,,,,,,,,,,39.29,1.86,0.98,0,3,9,2023,247,4,36,True,1.1602687
2023-09-05,,,,,,,,,,,,,38.82,1.81,0.96,1,3,9,2023,248,5,36,True,1.1602687
2023-09-06,,,,,,,,,,,,,38.51,1.81,0.94,2,3,9,2023,249,6,36,True,1.1602687
2023-09-07,,,,,,,,,,,,,38.03,3.51,0.93,3,3,9,2023,250,7,36,True,1.1602687
2023-09-08,,,,,,,,,,,,,37.56,3.41,0.9,4,3,9,2023,251,8,36,True,1.1602687
2023-09-09,,,,,,,,,,,,,37.87,3.32,0.88,5,3,9,2023,252,9,36,True,1.1602687
2023-09-10,,,,,,,,,,,,,37.87,3.23,0.86,6,3,9,2023,253,10,36,True,1.1602687
2023-09-11,,,,,,,,,,,,,37.87,3.13,0.86,0,3,9,2023,254,11,37,True,1.1602687
2023-09-12,,,,,,,,,,,,,37.72,2.8,0.85,1,3,9,2023,255,12,37,True,1.1602687
2023-09-13,,,,,,,,,,,,,37.72,2.75,0.85,2,3,9,2023,256,13,37,True,1.1602687
2023-09-14,,,,,,,,,,,,,37.72,2.66,0.83,3,3,9,2023,257,14,37,True,1.1602687
2023-09-15,,,,,,,,,,,,,37.56,2.57,0.83,4,3,9,2023,258,15,37,True,1.1602687
2023-09-16,,,,,,,,,,,,,37.56,2.47,0.82,5,3,9,2023,259,16,37,True,1.1602687
2023-09-17,,,,,,,,,,,,,37.4,2.43,0.82,6,3,9,2023,260,17,37,True,1.1602687
2023-09-18,,,,,,,,,,,,,37.56,2.38,0.82,0,3,9,2023,261,18,38,True,1.1602687
