,pred
2023-06-26,25.9427
2023-06-27,25.9427
2023-06-28,25.9427
2023-06-29,25.9427
2023-06-30,25.9427
2023-07-01,25.9427
2023-07-02,25.9427
2023-07-03,25.9427
2023-07-04,25.9427
2023-07-05,25.9427
2023-07-06,25.9427
2023-07-07,25.9427
2023-07-08,25.9427
2023-07-09,25.9427
2023-07-10,25.9427
2023-07-11,25.9427
2023-07-12,25.9427
2023-07-13,25.9427
2023-07-14,25.9427
2023-07-15,25.9427
2023-07-16,25.9427
2023-07-17,25.9427
2023-07-18,25.9427
2023-07-19,25.9427
2023-07-20,25.9427
2023-07-21,25.9427
2023-07-22,25.9427
2023-07-23,25.9427
2023-07-24,25.9427
2023-07-25,25.9427
2023-07-26,25.9427
2023-07-27,25.9427
2023-07-28,25.9427
2023-07-29,25.9427
2023-07-30,25.9427
2023-07-31,25.9427
2023-08-01,25.9427
2023-08-02,25.9427
2023-08-03,25.9427
2023-08-04,25.9427
2023-08-05,25.9427
2023-08-06,25.9427
2023-08-07,25.9427
2023-08-08,25.9427
2023-08-09,25.9427
2023-08-10,25.9427
2023-08-11,25.9427
2023-08-12,25.9427
2023-08-13,25.9427
2023-08-14,25.9427
2023-08-15,25.9427
2023-08-16,25.9427
2023-08-17,25.9427
2023-08-18,25.9427
2023-08-19,25.9427
2023-08-20,25.9427
2023-08-21,25.9427
2023-08-22,25.9427
2023-08-23,25.9427
2023-08-24,25.9427
2023-08-25,25.9427
2023-08-26,25.9427
2023-08-27,25.9427
2023-08-28,25.9427
2023-08-29,25.9427
2023-08-30,25.9427
2023-08-31,25.9427
2023-09-01,25.9427
2023-09-02,25.9427
2023-09-03,25.9427
2023-09-04,25.9427
2023-09-05,25.9427
2023-09-06,25.9427
2023-09-07,25.9427
2023-09-08,25.9427
2023-09-09,25.9427
2023-09-10,25.9427
2023-09-11,25.9427
2023-09-12,25.9427
2023-09-13,25.9427
2023-09-14,25.9427
2023-09-15,25.9427
2023-09-16,25.9427
2023-09-17,25.9427
2023-09-18,25.9427
2023-09-19,25.9427
2023-09-20,25.9427
2023-09-21,25.9427
2023-09-22,25.9427
2023-09-23,25.9427
2023-09-24,25.9427
2023-09-25,25.9427
2023-09-26,25.9427
2023-09-27,25.9427
2023-09-28,25.9427
2023-09-29,25.9427
2023-09-30,25.9427
2023-10-01,25.9427
2023-10-02,25.9427
2023-10-03,25.9427
2023-10-04,25.9427
2023-10-05,25.9427
2023-10-06,25.9427
2023-10-07,25.9427
2023-10-08,25.9427
2023-10-09,25.9427
2023-10-10,25.9427
2023-10-11,25.9427
2023-10-12,25.9427
2023-10-13,25.9427
2023-10-14,25.9427
2023-10-15,25.9427
2023-10-16,25.9427
2023-10-17,25.9427
2023-10-18,25.9427
2023-10-19,25.9427
2023-10-20,25.9427
2023-10-21,25.9427
2023-10-22,25.9427
2023-10-23,25.9427
2023-10-24,25.9427
2023-10-25,25.9427
2023-10-26,25.9427
2023-10-27,25.9427
2023-10-28,25.9427
2023-10-29,25.9427
2023-10-30,25.9427
2023-10-31,25.9427
2023-11-01,25.9427
2023-11-02,25.9427
2023-11-03,25.9427
2023-11-04,25.9427
2023-11-05,25.9427
2023-11-06,25.9427
2023-11-07,25.9427
2023-11-08,25.9427
2023-11-09,25.9427
2023-11-10,25.9427
2023-11-11,25.9427
2023-11-12,25.9427
2023-11-13,25.9427
2023-11-14,25.9427
2023-11-15,25.9427
2023-11-16,25.9427
2023-11-17,25.9427
2023-11-18,25.9427
2023-11-19,25.9427
2023-11-20,25.9427
2023-11-21,25.9427
2023-11-22,25.9427
2023-11-23,25.9427
2023-11-24,25.9427
2023-11-25,25.9427
2023-11-26,25.9427
2023-11-27,25.9427
2023-11-28,25.9427
2023-11-29,25.9427
2023-11-30,25.9427
2023-12-01,25.9427
2023-12-02,25.9427
2023-12-03,25.9427
2023-12-04,25.9427
2023-12-05,25.9427
2023-12-06,25.9427
2023-12-07,25.9427
2023-12-08,25.9427
2023-12-09,25.9427
2023-12-10,25.9427
2023-12-11,25.9427
2023-12-12,25.9427
2023-12-13,25.9427
2023-12-14,25.9427
2023-12-15,25.9427
2023-12-16,25.9427
2023-12-17,25.9427
2023-12-18,25.9427
2023-12-19,25.9427
2023-12-20,25.9427
2023-12-21,25.9427
2023-12-22,25.9427
2023-12-23,25.9427
2023-12-24,25.9427
2023-12-25,25.9427
2023-12-26,25.9427
2023-12-27,25.9427
2023-12-28,25.9427
2023-12-29,25.9427
2023-12-30,25.9427
2023-12-31,25.9427
2024-01-01,26.380402
2024-01-02,26.380402
2024-01-03,26.380402
2024-01-04,26.380402
2024-01-05,26.380402
2024-01-06,26.380402
2024-01-07,26.380402
2024-01-08,26.380402
2024-01-09,26.380402
2024-01-10,26.380402
2024-01-11,26.380402
2024-01-12,26.380402
2024-01-13,26.380402
2024-01-14,26.380402
2024-01-15,26.380402
2024-01-16,26.380402
2024-01-17,26.380402
2024-01-18,26.380402
2024-01-19,26.380402
2024-01-20,26.380402
2024-01-21,26.380402
2024-01-22,26.380402
2024-01-23,26.380402
2024-01-24,26.380402
2024-01-25,26.380402
2024-01-26,26.380402
2024-01-27,26.380402
2024-01-28,26.380402
2024-01-29,26.380402
2024-01-30,26.380402
2024-01-31,26.380402
2024-02-01,26.380402
2024-02-02,26.380402
2024-02-03,26.380402
2024-02-04,26.380402
2024-02-05,26.380402
2024-02-06,26.380402
2024-02-07,26.380402
2024-02-08,26.380402
2024-02-09,26.380402
2024-02-10,26.380402
2024-02-11,26.380402
2024-02-12,26.380402
2024-02-13,26.380402
2024-02-14,26.380402
2024-02-15,26.380402
2024-02-16,26.380402
2024-02-17,26.380402
2024-02-18,26.380402
2024-02-19,26.380402
2024-02-20,26.380402
2024-02-21,26.380402
2024-02-22,26.380402
2024-02-23,26.380402
2024-02-24,26.380402
2024-02-25,26.380402
2024-02-26,26.380402
2024-02-27,26.380402
2024-02-28,26.380402
2024-02-29,26.380402
2024-03-01,26.380402
2024-03-02,26.380402
2024-03-03,26.380402
2024-03-04,26.380402
2024-03-05,26.380402
2024-03-06,26.380402
2024-03-07,26.380402
2024-03-08,26.380402
2024-03-09,26.380402
2024-03-10,26.380402
2024-03-11,26.380402
2024-03-12,26.380402
2024-03-13,26.380402
2024-03-14,26.380402
2024-03-15,26.380402
2024-03-16,26.380402
2024-03-17,26.380402
2024-03-18,26.380402
2024-03-19,26.380402
2024-03-20,26.380402
2024-03-21,26.380402
2024-03-22,26.380402
2024-03-23,26.380402
2024-03-24,26.380402
2024-03-25,26.380402
2024-03-26,26.380402
2024-03-27,26.380402
2024-03-28,26.380402
2024-03-29,26.380402
2024-03-30,26.380402
2024-03-31,26.380402
2024-04-01,26.380402
2024-04-02,26.380402
2024-04-03,26.380402
2024-04-04,26.380402
2024-04-05,26.433369
2024-04-06,26.450977
2024-04-07,26.41709
2024-04-08,26.371126
2024-04-09,26.341528
2024-04-10,26.317656
2024-04-11,26.316395
2024-04-12,26.289503
2024-04-13,26.26555
2024-04-14,26.25756
2024-04-15,26.257559
2024-04-16,26.257559
2024-04-17,26.257559
2024-04-18,26.257559
2024-04-19,26.23495
2024-04-20,26.17954
2024-04-21,26.151009
2024-04-22,26.065958
2024-04-23,26.065958
