,almacenamiento,temp,humidity,precip,preciptype,uvindex,conditions_Clear,conditions_Overcast,conditions_Partially cloudy,conditions_Rain,"conditions_Rain, Overcast","conditions_Rain, Partially cloudy",lag1,lag2,lag3,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,isfuture,pred
2023-06-26,,,,,,,,,,,,,2.42,1.14,6.49,0,2,6,2023,177,26,26,True,2.2297103
2023-06-27,,,,,,,,,,,,,2.43,1.14,6.47,1,2,6,2023,178,27,26,True,2.2297103
2023-06-28,,,,,,,,,,,,,2.43,1.13,6.47,2,2,6,2023,179,28,26,True,2.2297103
2023-06-29,,,,,,,,,,,,,2.43,1.13,6.42,3,2,6,2023,180,29,26,True,2.2297103
2023-06-30,,,,,,,,,,,,,2.43,1.13,6.42,4,2,6,2023,181,30,26,True,2.2297103
2023-07-01,,,,,,,,,,,,,2.43,1.14,6.4,5,3,7,2023,182,1,26,True,2.2297103
2023-07-02,,,,,,,,,,,,,2.42,1.14,6.4,6,3,7,2023,183,2,26,True,2.2297103
2023-07-03,,,,,,,,,,,,,2.42,1.14,6.37,0,3,7,2023,184,3,27,True,2.2297103
2023-07-04,,,,,,,,,,,,,2.41,1.27,6.3,1,3,7,2023,185,4,27,True,2.2297103
2023-07-05,,,,,,,,,,,,,2.41,1.27,6.25,2,3,7,2023,186,5,27,True,2.2297103
2023-07-06,,,,,,,,,,,,,2.4,1.28,6.23,3,3,7,2023,187,6,27,True,2.2297103
2023-07-07,,,,,,,,,,,,,2.39,1.29,6.18,4,3,7,2023,188,7,27,True,2.2297103
2023-07-08,,,,,,,,,,,,,2.38,1.28,6.16,5,3,7,2023,189,8,27,True,2.2297103
2023-07-09,,,,,,,,,,,,,2.37,1.27,6.09,6,3,7,2023,190,9,27,True,2.2297103
2023-07-10,,,,,,,,,,,,,2.37,1.29,6.07,0,3,7,2023,191,10,28,True,2.2297103
2023-07-11,,,,,,,,,,,,,2.34,1.29,6.02,1,3,7,2023,192,11,28,True,2.2297103
2023-07-12,,,,,,,,,,,,,2.28,1.29,5.95,2,3,7,2023,193,12,28,True,2.2297103
2023-07-13,,,,,,,,,,,,,2.22,1.29,5.91,3,3,7,2023,194,13,28,True,2.2297103
2023-07-14,,,,,,,,,,,,,2.18,1.31,5.86,4,3,7,2023,195,14,28,True,2.2297103
2023-07-15,,,,,,,,,,,,,2.18,1.31,5.84,5,3,7,2023,196,15,28,True,2.2297103
2023-07-16,,,,,,,,,,,,,2.18,1.31,5.82,6,3,7,2023,197,16,28,True,2.2297103
2023-07-17,,,,,,,,,,,,,2.16,1.36,5.79,0,3,7,2023,198,17,29,True,2.2297103
2023-07-18,,,,,,,,,,,,,2.15,1.38,5.77,1,3,7,2023,199,18,29,True,2.2297103
2023-07-19,,,,,,,,,,,,,2.14,1.38,5.77,2,3,7,2023,200,19,29,True,2.2297103
2023-07-20,,,,,,,,,,,,,2.13,2.46,5.77,3,3,7,2023,201,20,29,True,2.3983135
2023-07-21,,,,,,,,,,,,,2.12,2.46,5.77,4,3,7,2023,202,21,29,True,2.3983135
2023-07-22,,,,,,,,,,,,,2.11,2.47,5.77,5,3,7,2023,203,22,29,True,2.3983135
2023-07-23,,,,,,,,,,,,,2.1,2.48,5.75,6,3,7,2023,204,23,29,True,2.3983135
2023-07-24,,,,,,,,,,,,,2.11,2.51,5.75,0,3,7,2023,205,24,30,True,2.3983135
2023-07-25,,,,,,,,,,,,,2.11,2.55,5.72,1,3,7,2023,206,25,30,True,2.3983135
2023-07-26,,,,,,,,,,,,,2.11,2.58,5.72,2,3,7,2023,207,26,30,True,2.3983135
2023-07-27,,,,,,,,,,,,,2.11,2.58,5.7,3,3,7,2023,208,27,30,True,2.3983135
2023-07-28,,,,,,,,,,,,,2.11,2.58,5.7,4,3,7,2023,209,28,30,True,2.3983135
2023-07-29,,,,,,,,,,,,,2.11,4.73,5.7,5,3,7,2023,210,29,30,True,2.3983135
2023-07-30,,,,,,,,,,,,,2.11,4.73,5.68,6,3,7,2023,211,30,30,True,2.3983135
2023-07-31,,,,,,,,,,,,,2.11,4.73,5.68,0,3,7,2023,212,31,31,True,2.622571
2023-08-01,,,,,,,,,,,,,2.11,4.73,5.68,1,3,8,2023,213,1,31,True,2.622571
2023-08-02,,,,,,,,,,,,,2.1,4.73,5.61,2,3,8,2023,214,2,31,True,2.622571
2023-08-03,,,,,,,,,,,,,2.1,4.73,5.56,3,3,8,2023,215,3,31,True,2.622571
2023-08-04,,,,,,,,,,,,,2.1,4.73,5.56,4,3,8,2023,216,4,31,True,2.622571
2023-08-05,,,,,,,,,,,,,2.09,4.75,5.5,5,3,8,2023,217,5,31,True,2.622571
2023-08-06,,,,,,,,,,,,,2.09,4.77,5.5,6,3,8,2023,218,6,31,True,2.622571
2023-08-07,,,,,,,,,,,,,2.09,4.77,5.4,0,3,8,2023,219,7,32,True,2.622571
2023-08-08,,,,,,,,,,,,,2.09,4.77,5.38,1,3,8,2023,220,8,32,True,2.622571
2023-08-09,,,,,,,,,,,,,2.09,4.77,5.38,2,3,8,2023,221,9,32,True,2.622571
2023-08-10,,,,,,,,,,,,,2.1,4.77,5.38,3,3,8,2023,222,10,32,True,2.622571
2023-08-11,,,,,,,,,,,,,2.12,6.98,5.38,4,3,8,2023,223,11,32,True,2.3866541
2023-08-12,,,,,,,,,,,,,2.12,6.89,5.36,5,3,8,2023,224,12,32,True,2.8026202
2023-08-13,,,,,,,,,,,,,2.12,7.28,5.33,6,3,8,2023,225,13,32,True,4.1939282
2023-08-14,,,,,,,,,,,,,2.12,7.28,5.33,0,3,8,2023,226,14,33,True,4.1939282
2023-08-15,,,,,,,,,,,,,2.12,7.28,5.31,1,3,8,2023,227,15,33,True,4.3662834
2023-08-16,,,,,,,,,,,,,2.13,7.3,5.31,2,3,8,2023,228,16,33,True,4.3662834
2023-08-17,,,,,,,,,,,,,4.64,7.3,5.29,3,3,8,2023,229,17,33,True,4.3662834
2023-08-18,,,,,,,,,,,,,5.2,7.3,5.26,4,3,8,2023,230,18,33,True,5.3399744
2023-08-19,,,,,,,,,,,,,5.24,7.3,5.24,5,3,8,2023,231,19,33,True,5.3399744
2023-08-20,,,,,,,,,,,,,5.29,7.3,5.24,6,3,8,2023,232,20,33,True,5.3399744
2023-08-21,,,,,,,,,,,,,5.29,7.3,5.22,0,3,8,2023,233,21,34,True,5.3399744
2023-08-22,,,,,,,,,,,,,5.29,7.3,5.22,1,3,8,2023,234,22,34,True,5.3399744
2023-08-23,,,,,,,,,,,,,5.33,7.3,5.2,2,3,8,2023,235,23,34,True,5.3399744
2023-08-24,,,,,,,,,,,,,5.33,7.32,5.17,3,3,8,2023,236,24,34,True,5.3399744
2023-08-25,,,,,,,,,,,,,5.33,7.32,5.15,4,3,8,2023,237,25,34,True,5.3399744
2023-08-26,,,,,,,,,,,,,5.33,7.32,5.15,5,3,8,2023,238,26,34,True,5.3399744
2023-08-27,,,,,,,,,,,,,5.33,7.32,5.15,6,3,8,2023,239,27,34,True,5.3399744
2023-08-28,,,,,,,,,,,,,5.33,7.32,5.15,0,3,8,2023,240,28,35,True,5.3399744
