,almacenamiento,temp,humidity,precip,preciptype,uvindex,conditions_Clear,conditions_Overcast,conditions_Partially cloudy,conditions_Rain,"conditions_Rain, Overcast","conditions_Rain, Partially cloudy",lag1,lag2,lag3,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,isfuture,pred
2023-06-26,,,,,,,,,,,,,83.13,366.97,567.78,0,2,6,2023,177,26,26,True,482.17444
2023-06-27,,,,,,,,,,,,,83.02,364.75,566.11,1,2,6,2023,178,27,26,True,482.17444
2023-06-28,,,,,,,,,,,,,82.9,363.09,563.43,2,2,6,2023,179,28,26,True,482.17444
2023-06-29,,,,,,,,,,,,,82.79,360.59,560.76,3,2,6,2023,180,29,26,True,482.17444
2023-06-30,,,,,,,,,,,,,82.68,359.2,560.43,4,2,6,2023,181,30,26,True,482.17444
2023-07-01,,,,,,,,,,,,,82.57,357.54,559.76,5,3,7,2023,182,1,26,True,482.17444
2023-07-02,,,,,,,,,,,,,82.79,356.43,559.09,6,3,7,2023,183,2,26,True,482.17444
2023-07-03,,,,,,,,,,,,,82.9,355.09,558.09,0,3,7,2023,184,3,27,True,482.17444
2023-07-04,,,,,,,,,,,,,83.58,353.22,557.42,1,3,7,2023,185,4,27,True,482.17444
2023-07-05,,,,,,,,,,,,,84.7,350.82,556.75,2,3,7,2023,186,5,27,True,482.17444
2023-07-06,,,,,,,,,,,,,85.83,349.21,556.09,3,3,7,2023,187,6,27,True,482.17444
2023-07-07,,,,,,,,,,,,,86.96,346.81,555.75,4,3,7,2023,188,7,27,True,482.17444
2023-07-08,,,,,,,,,,,,,87.52,345.21,555.08,5,3,7,2023,189,8,27,True,482.17444
2023-07-09,,,,,,,,,,,,,87.86,343.87,554.42,6,3,7,2023,190,9,27,True,482.17444
2023-07-10,,,,,,,,,,,,,88.53,343.34,553.75,0,3,7,2023,191,10,28,True,482.17444
2023-07-11,,,,,,,,,,,,,89.55,342.54,553.41,1,3,7,2023,192,11,28,True,482.17444
2023-07-12,,,,,,,,,,,,,90.56,343.34,553.08,2,3,7,2023,193,12,28,True,482.17444
2023-07-13,,,,,,,,,,,,,91.65,343.6,552.75,3,3,7,2023,194,13,28,True,482.17444
2023-07-14,,,,,,,,,,,,,93.87,343.07,552.75,4,3,7,2023,195,14,28,True,482.17444
2023-07-15,,,,,,,,,,,,,98.68,342.27,552.08,5,3,7,2023,196,15,28,True,482.17444
2023-07-16,,,,,,,,,,,,,100.9,343.34,551.74,6,3,7,2023,197,16,28,True,482.17444
2023-07-17,,,,,,,,,,,,,103.53,347.88,551.08,0,3,7,2023,198,17,29,True,482.17444
2023-07-18,,,,,,,,,,,,,104.36,355.09,550.41,1,3,7,2023,199,18,29,True,482.17444
2023-07-19,,,,,,,,,,,,,104.78,362.81,550.41,2,3,7,2023,200,19,29,True,482.17444
2023-07-20,,,,,,,,,,,,,105.89,370.58,550.07,3,3,7,2023,201,20,29,True,482.17444
2023-07-21,,,,,,,,,,,,,106.16,377.8,549.74,4,3,7,2023,202,21,29,True,482.17444
2023-07-22,,,,,,,,,,,,,108.24,383.63,550.41,5,3,7,2023,203,22,29,True,482.17444
2023-07-23,,,,,,,,,,,,,113.5,387.06,550.74,6,3,7,2023,204,23,29,True,482.17444
2023-07-24,,,,,,,,,,,,,116.82,390.23,552.08,0,3,7,2023,205,24,30,True,482.17444
2023-07-25,,,,,,,,,,,,,120.53,392.24,553.08,1,3,7,2023,206,25,30,True,482.17444
2023-07-26,,,,,,,,,,,,,125.33,394.26,554.42,2,3,7,2023,207,26,30,True,482.17444
2023-07-27,,,,,,,,,,,,,130.91,395.7,555.75,3,3,7,2023,208,27,30,True,482.17444
2023-07-28,,,,,,,,,,,,,137.5,397.71,556.42,4,3,7,2023,209,28,30,True,482.17444
2023-07-29,,,,,,,,,,,,,146.25,399.73,557.42,5,3,7,2023,210,29,30,True,482.17444
2023-07-30,,,,,,,,,,,,,153.94,400.88,558.42,6,3,7,2023,211,30,30,True,482.17444
2023-07-31,,,,,,,,,,,,,157.52,402.32,559.09,0,3,7,2023,212,31,31,True,482.17444
2023-08-01,,,,,,,,,,,,,164.33,404.33,559.09,1,3,8,2023,213,1,31,True,482.17444
2023-08-02,,,,,,,,,,,,,170.09,406.06,559.43,2,3,8,2023,214,2,31,True,482.17444
2023-08-03,,,,,,,,,,,,,175.3,407.5,559.43,3,3,8,2023,215,3,31,True,482.17444
2023-08-04,,,,,,,,,,,,,184.95,409.52,559.43,4,3,8,2023,216,4,31,True,482.17444
2023-08-05,,,,,,,,,,,,,192.16,411.53,559.76,5,3,8,2023,217,5,31,True,482.17444
2023-08-06,,,,,,,,,,,,,198.66,412.97,559.76,6,3,8,2023,218,6,31,True,482.17444
2023-08-07,,,,,,,,,,,,,203.48,414.16,559.76,0,3,8,2023,219,7,32,True,482.17444
2023-08-08,,,,,,,,,,,,,208.59,418.9,559.76,1,3,8,2023,220,8,32,True,482.17444
2023-08-09,,,,,,,,,,,,,213.99,420.98,559.76,2,3,8,2023,221,9,32,True,482.17444
2023-08-10,,,,,,,,,,,,,220.28,424.24,559.76,3,3,8,2023,222,10,32,True,482.17444
2023-08-11,,,,,,,,,,,,,227.47,428.69,559.76,4,3,8,2023,223,11,32,True,482.17444
2023-08-12,,,,,,,,,,,,,237.78,436.4,559.76,5,3,8,2023,224,12,32,True,482.17444
2023-08-13,,,,,,,,,,,,,246.57,449.36,559.43,6,3,8,2023,225,13,32,True,482.17444
2023-08-14,,,,,,,,,,,,,254.43,462.84,559.43,0,3,8,2023,226,14,33,True,482.17444
2023-08-15,,,,,,,,,,,,,261.34,471.1,559.09,1,3,8,2023,227,15,33,True,482.17444
2023-08-16,,,,,,,,,,,,,268.99,487.15,559.09,2,3,8,2023,228,16,33,True,482.17444
2023-08-17,,,,,,,,,,,,,275.15,495.37,558.76,3,3,8,2023,229,17,33,True,549.2282
2023-08-18,,,,,,,,,,,,,296.61,501.69,558.42,4,3,8,2023,230,18,33,True,549.2282
2023-08-19,,,,,,,,,,,,,335.32,505.83,557.76,5,3,8,2023,231,19,33,True,549.2282
2023-08-20,,,,,,,,,,,,,374.74,508.76,558.09,6,3,8,2023,232,20,33,True,549.2282
2023-08-21,,,,,,,,,,,,,407.21,511.36,558.09,0,3,8,2023,233,21,34,True,549.2282
2023-08-22,,,,,,,,,,,,,419.79,514.61,558.09,1,3,8,2023,234,22,34,True,549.2282
2023-08-23,,,,,,,,,,,,,435.8,518.52,557.76,2,3,8,2023,235,23,34,True,549.2282
2023-08-24,,,,,,,,,,,,,458.55,523.07,557.76,3,3,8,2023,236,24,34,True,549.2282
2023-08-25,,,,,,,,,,,,,480.52,524.05,557.42,4,3,8,2023,237,25,34,True,549.2282
2023-08-26,,,,,,,,,,,,,504.54,527.3,557.42,5,3,8,2023,238,26,34,True,554.981
2023-08-27,,,,,,,,,,,,,526.32,529.58,557.42,6,3,8,2023,239,27,34,True,554.981
2023-08-28,,,,,,,,,,,,,545.06,529.58,557.09,0,3,8,2023,240,28,35,True,554.981
2023-08-29,,,,,,,,,,,,,559.43,530.55,562.1,1,3,8,2023,241,29,35,True,570.26135
2023-08-30,,,,,,,,,,,,,571.12,532.5,559.76,2,3,8,2023,242,30,35,True,570.26135
2023-08-31,,,,,,,,,,,,,579.71,534.13,567.78,3,3,8,2023,243,31,35,True,570.26135
2023-09-01,,,,,,,,,,,,,586.24,534.45,567.78,4,3,9,2023,244,1,35,True,571.85736
