,pred
2023-06-26,32.37794
2023-06-27,32.37794
2023-06-28,32.37794
2023-06-29,32.37794
2023-06-30,32.37794
2023-07-01,32.37794
2023-07-02,32.37794
2023-07-03,32.37794
2023-07-04,32.37794
2023-07-05,32.37794
2023-07-06,32.37794
2023-07-07,32.37794
2023-07-08,32.37794
2023-07-09,32.37794
2023-07-10,32.37794
2023-07-11,32.37794
2023-07-12,32.37794
2023-07-13,32.37794
2023-07-14,32.37794
2023-07-15,32.37794
2023-07-16,32.37794
2023-07-17,32.37794
2023-07-18,32.37794
2023-07-19,32.37794
2023-07-20,32.37794
2023-07-21,32.37794
2023-07-22,32.37794
2023-07-23,32.37794
2023-07-24,32.37794
2023-07-25,32.37794
2023-07-26,32.37794
2023-07-27,32.37794
2023-07-28,37.38326
2023-07-29,37.38326
2023-07-30,37.38326
2023-07-31,37.38326
2023-08-01,37.38326
2023-08-02,37.450714
2023-08-03,37.450714
2023-08-04,37.450714
2023-08-05,37.450714
2023-08-06,37.450714
2023-08-07,37.450714
2023-08-08,37.450714
2023-08-09,37.450714
2023-08-10,37.450714
2023-08-11,37.450714
2023-08-12,37.450714
2023-08-13,37.450714
2023-08-14,37.450714
2023-08-15,37.450714
2023-08-16,37.445507
2023-08-17,37.445507
2023-08-18,37.268967
2023-08-19,41.123577
2023-08-20,41.123577
2023-08-21,45.89651
2023-08-22,50.372345
2023-08-23,50.372345
2023-08-24,54.23718
2023-08-25,54.391182
2023-08-26,54.391182
2023-08-27,54.391182
2023-08-28,54.391182
2023-08-29,54.391182
2023-08-30,48.394173
2023-08-31,7.649966
2023-09-01,10.142302
2023-09-02,11.075434
2023-09-03,11.275411
2023-09-04,11.275411
2023-09-05,11.339893
2023-09-06,11.52679
2023-09-07,11.52679
2023-09-08,11.52679
2023-09-09,11.52679
2023-09-10,11.52679
2023-09-11,11.52679
2023-09-12,11.52679
2023-09-13,11.52679
2023-09-14,11.52679
2023-09-15,11.52679
2023-09-16,11.52679
2023-09-17,11.52679
2023-09-18,11.52679
2023-09-19,11.52679
2023-09-20,11.52679
2023-09-21,11.52679
2023-09-22,11.52679
2023-09-23,11.52679
2023-09-24,11.52679
2023-09-25,11.52679
2023-09-26,11.52679
2023-09-27,11.52679
2023-09-28,11.52679
2023-09-29,11.52679
2023-09-30,11.52679
2023-10-01,11.52679
2023-10-02,11.52679
2023-10-03,11.52679
2023-10-04,11.52679
2023-10-05,11.52679
2023-10-06,11.52679
2023-10-07,11.52679
2023-10-08,11.52679
2023-10-09,11.52679
2023-10-10,11.52679
2023-10-11,11.52679
2023-10-12,11.52679
2023-10-13,11.52679
2023-10-14,11.52679
2023-10-15,11.52679
2023-10-16,11.52679
2023-10-17,11.52679
2023-10-18,11.52679
2023-10-19,11.52679
2023-10-20,11.52679
2023-10-21,11.52679
2023-10-22,11.52679
2023-10-23,11.52679
2023-10-24,11.52679
2023-10-25,11.52679
2023-10-26,11.52679
2023-10-27,11.52679
2023-10-28,11.52679
2023-10-29,11.52679
2023-10-30,11.52679
2023-10-31,11.52679
2023-11-01,11.52679
2023-11-02,11.52679
2023-11-03,11.52679
2023-11-04,11.52679
2023-11-05,11.52679
2023-11-06,11.52679
2023-11-07,11.52679
2023-11-08,11.52679
2023-11-09,11.52679
2023-11-10,11.52679
2023-11-11,11.52679
2023-11-12,11.52679
2023-11-13,11.52679
2023-11-14,11.52679
2023-11-15,11.52679
2023-11-16,11.52679
2023-11-17,11.52679
2023-11-18,11.52679
2023-11-19,11.52679
2023-11-20,11.52679
2023-11-21,11.52679
2023-11-22,11.52679
2023-11-23,11.52679
2023-11-24,11.52679
2023-11-25,11.52679
2023-11-26,11.52679
2023-11-27,11.52679
2023-11-28,11.52679
2023-11-29,11.52679
2023-11-30,11.52679
2023-12-01,11.52679
2023-12-02,11.52679
2023-12-03,11.52679
2023-12-04,11.52679
2023-12-05,11.52679
2023-12-06,11.52679
2023-12-07,11.52679
2023-12-08,11.52679
2023-12-09,11.52679
2023-12-10,11.52679
2023-12-11,11.52679
2023-12-12,11.52679
2023-12-13,11.52679
2023-12-14,11.52679
2023-12-15,11.52679
2023-12-16,11.52679
2023-12-17,11.52679
2023-12-18,11.52679
2023-12-19,11.52679
2023-12-20,11.52679
2023-12-21,11.52679
2023-12-22,11.52679
2023-12-23,11.52679
2023-12-24,11.52679
2023-12-25,11.52679
2023-12-26,11.52679
2023-12-27,11.52679
2023-12-28,11.52679
2023-12-29,11.52679
2023-12-30,11.52679
2023-12-31,11.52679
2024-01-01,6.5698724
2024-01-02,6.5698724
2024-01-03,6.5698724
2024-01-04,6.5698724
2024-01-05,6.5698724
2024-01-06,6.5698724
2024-01-07,6.5698724
2024-01-08,6.5698724
2024-01-09,6.5698724
2024-01-10,6.5698724
2024-01-11,6.5698724
2024-01-12,6.5698724
2024-01-13,6.5698724
2024-01-14,6.5698724
2024-01-15,6.5698724
2024-01-16,6.5698724
2024-01-17,6.5698724
2024-01-18,6.5698724
2024-01-19,6.5698724
2024-01-20,6.5698724
2024-01-21,6.5698724
2024-01-22,6.5698724
2024-01-23,6.5698724
2024-01-24,6.5698724
2024-01-25,6.5698724
2024-01-26,6.5698724
2024-01-27,6.5698724
2024-01-28,6.5698724
2024-01-29,6.5698724
2024-01-30,6.5698724
2024-01-31,6.5698724
2024-02-01,8.478701
2024-02-02,14.072128
2024-02-03,14.072128
2024-02-04,18.513931
2024-02-05,18.513931
2024-02-06,20.255423
2024-02-07,25.831299
2024-02-08,25.831299
2024-02-09,25.831299
2024-02-10,29.404745
2024-02-11,29.404745
2024-02-12,29.404745
2024-02-13,29.404745
2024-02-14,29.404745
2024-02-15,29.404745
2024-02-16,29.404745
2024-02-17,32.585926
2024-02-18,33.71588
2024-02-19,33.71588
2024-02-20,33.71588
2024-02-21,33.71588
2024-02-22,33.71588
2024-02-23,33.71588
2024-02-24,33.71588
2024-02-25,33.71588
2024-02-26,33.71588
2024-02-27,33.71588
2024-02-28,33.71588
2024-02-29,33.71588
2024-03-01,33.71588
2024-03-02,33.71588
2024-03-03,33.71588
2024-03-04,33.71588
2024-03-05,33.71588
2024-03-06,33.71588
2024-03-07,33.71588
2024-03-08,33.71588
2024-03-09,33.71588
2024-03-10,33.71588
2024-03-11,33.71588
2024-03-12,37.24525
2024-03-13,37.24525
2024-03-14,37.24525
2024-03-15,37.24525
2024-03-16,37.24525
2024-03-17,37.24525
2024-03-18,37.24525
2024-03-19,37.24525
2024-03-20,37.24525
2024-03-21,37.24525
2024-03-22,37.24525
2024-03-23,37.24525
2024-03-24,37.24525
2024-03-25,37.24525
2024-03-26,37.24525
2024-03-27,37.24525
2024-03-28,37.24525
2024-03-29,37.24525
2024-03-30,37.24525
2024-03-31,37.24525
2024-04-01,37.24525
2024-04-02,37.24525
2024-04-03,37.24525
2024-04-04,37.24525
2024-04-05,37.24525
2024-04-06,37.24525
2024-04-07,37.24525
2024-04-08,37.268967
2024-04-09,37.268967
2024-04-10,37.268967
2024-04-11,37.406006
2024-04-12,37.406006
2024-04-13,37.445507
2024-04-14,37.445507
2024-04-15,37.445507
2024-04-16,37.445507
2024-04-17,37.445507
2024-04-18,37.450714
2024-04-19,37.450714
2024-04-20,37.450714
2024-04-21,37.450714
2024-04-22,37.450714
2024-04-23,37.450714
2024-04-24,37.450714
2024-04-25,37.450714
2024-04-26,37.450714
2024-04-27,37.450714
2024-04-28,37.450714
2024-04-29,37.450714
2024-04-30,37.450714
2024-05-01,37.450714
2024-05-02,37.450714
2024-05-03,37.450714
2024-05-04,37.450714
2024-05-05,37.450714
2024-05-06,37.450714
2024-05-07,37.450714
2024-05-08,37.450714
2024-05-09,37.450714
2024-05-10,37.450714
2024-05-11,37.450714
2024-05-12,37.450714
2024-05-13,37.450714
2024-05-14,37.450714
2024-05-15,37.450714
2024-05-16,37.450714
2024-05-17,37.450714
2024-05-18,37.450714
2024-05-19,37.450714
2024-05-20,37.450714
2024-05-21,37.450714
2024-05-22,37.450714
2024-05-23,37.450714
2024-05-24,37.450714
2024-05-25,37.450714
2024-05-26,37.450714
2024-05-27,37.450714
2024-05-28,37.450714
2024-05-29,37.450714
2024-05-30,37.450714
2024-05-31,37.450714
2024-06-01,37.450714
2024-06-02,37.450714
2024-06-03,37.450714
2024-06-04,37.450714
2024-06-05,37.450714
2024-06-06,37.450714
2024-06-07,37.450714
2024-06-08,37.450714
2024-06-09,37.450714
2024-06-10,37.450714
2024-06-11,37.450714
2024-06-12,37.450714
2024-06-13,37.450714
2024-06-14,37.450714
2024-06-15,37.450714
2024-06-16,37.450714
2024-06-17,37.450714
2024-06-18,37.450714
2024-06-19,37.38326
